year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2022,1,2022-W01-M01,1,1,The Big Gronkowski,Voldemort,99.18,156.38,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=1
2022,1,2022-W01-M02,2,2,Malle ❤️ 🐸,Uncle Rico,138.4,104.82,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=2
2022,1,2022-W01-M03,3,4,Joe Mantegna,Post Mahomes,118.46,96.58,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=4
2022,1,2022-W01-M04,4,5,ThreatLevelMidnight,Ginger FC,66.36,126.72,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=5
2022,1,2022-W01-M05,5,6,Week 1 Recap (Lost),Pop Lockett Drop it,100.0,105.02,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=6
2022,1,2022-W01-M06,6,9,Week 1 Recap (Won),Big Sack Jack,105.02,100.0,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=1&mid1=9
2022,2,2022-W02-M01,1,1,Week 2 Recap (Lost),The Big Gronkowski,109.84,145.66,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=1
2022,2,2022-W02-M02,2,2,Malle ❤️ 🐸,Voldemort,124.82,122.68,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=2
2022,2,2022-W02-M03,3,4,Joe Mantegna,Pop Lockett Drop it,121.86,76.66,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=4
2022,2,2022-W02-M04,4,5,Patty Primetimes,ThreatLevelMidnight,102.38,91.88,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=5
2022,2,2022-W02-M05,5,7,Post Mahomes,Ginger FC,80.3,88.18,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=7
2022,2,2022-W02-M06,6,9,Week 2 Recap (Won),Big Sack Jack,145.66,109.84,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=2&mid1=9
2022,3,2022-W03-M01,1,1,Joe Mantegna,The Big Gronkowski,95.3,104.58,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=1
2022,3,2022-W03-M02,2,2,Week 3 Recap (Won),Malle ❤️ 🐸,132.7,85.5,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=2
2022,3,2022-W03-M03,3,3,malle_dips_pouches,Voldemort,82.0,157.92,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=3
2022,3,2022-W03-M04,4,5,ThreatLevelMidnight,Post Mahomes,61.54,82.24,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=5
2022,3,2022-W03-M05,5,6,Pop Lockett Drop it,Ginger FC,89.18,79.36,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=6
2022,3,2022-W03-M06,6,9,Week 3 Recap (Lost),Big Sack Jack,85.5,132.7,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=3&mid1=9
2022,4,2022-W04-M01,1,1,The Big Gronkowski,Ginger FC,130.82,113.98,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=1
2022,4,2022-W04-M02,2,2,Joe Mantegna,Malle ❤️ 🐸,114.66,118.9,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=2
2022,4,2022-W04-M03,3,3,Patty Primetimes,Voldemort,130.82,107.04,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=3
2022,4,2022-W04-M04,4,5,ThreatLevelMidnight,Uncle Rico,115.86,164.68,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=5
2022,4,2022-W04-M05,5,6,Pop Lockett Drop it,Post Mahomes,98.62,105.2,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=6
2022,4,2022-W04-M06,6,9,Week 4 Recap (Won),Big Sack Jack,120.68,102.36,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=4&mid1=9
2022,5,2022-W05-M01,1,1,The Big Gronkowski,Post Mahomes,119.14,80.84,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=1
2022,5,2022-W05-M02,2,2,Malle ❤️ 🐸,Ginger FC,76.16,182.3,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=2
2022,5,2022-W05-M03,3,3,Voldemort,Uncle Rico,106.48,155.78,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=3
2022,5,2022-W05-M04,4,4,malle_dips_pouches,Joe Mantegna,111.52,122.06,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=4
2022,5,2022-W05-M05,5,5,ThreatLevelMidnight,Pop Lockett Drop it,75.16,109.16,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=5
2022,5,2022-W05-M06,6,9,Week 5 Recap (Lost),Big Sack Jack,101.58,107.38,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=5&mid1=9
2022,6,2022-W06-M01,1,1,The Big Gronkowski,Pop Lockett Drop it,102.3,87.74,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=1
2022,6,2022-W06-M02,2,2,Malle ❤️ 🐸,Post Mahomes,75.0,95.36,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=2
2022,6,2022-W06-M03,3,3,ThreatLevelMidnight,Voldemort,122.86,118.78,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=3
2022,6,2022-W06-M04,4,4,Patty Primetimes,Joe Mantegna,69.22,67.14,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=4
2022,6,2022-W06-M05,5,8,malle_dips_pouches,Ginger FC,111.08,106.7,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=8
2022,6,2022-W06-M06,6,9,Week 6 Recap (Lost),Uncle Rico,107.82,115.0,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=6&mid1=9
2022,7,2022-W07-M01,1,1,ThreatLevelMidnight,The Big Gronkowski,122.92,88.6,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=1
2022,7,2022-W07-M02,2,2,Malle ❤️ 🐸,Pop Lockett Drop it,80.5,81.52,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=2
2022,7,2022-W07-M03,3,3,Week 7 Recap (Lost),Voldemort,106.98,117.34,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=3
2022,7,2022-W07-M04,4,4,Joe Mantegna,Uncle Rico,132.12,110.22,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=4
2022,7,2022-W07-M05,5,7,malle_dips_pouches,Post Mahomes,100.72,96.0,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=7
2022,7,2022-W07-M06,6,8,Patty Primetimes,Ginger FC,109.46,102.76,30,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=7&mid1=8
2022,8,2022-W08-M01,1,1,Malle ❤️ 🐸,The Big Gronkowski,132.08,102.6,32,2,https://football.fantasysports.yahoo.com/2022/f1/854563/matchup?week=8&mid1=1
