year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2023,9,2023-W09-M01,1,1,The Big Gronkowski,Ginger FC,69.44,106.08,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=1
2023,9,2023-W09-M02,2,2,Malle ❤️ 🐸,Pop Lockett Drop it,100.58,94.04,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=2
2023,9,2023-W09-M03,3,3,ThreatLevelMidnight,Voldemort,80.38,121.5,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=3
2023,9,2023-W09-M04,4,4,malle_dips_pouches,Joe Mantegna,86.8,89.52,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=4
2023,9,2023-W09-M05,5,7,Patty Primetimes,Post Mahomes,97.62,88.92,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=7
2023,9,2023-W09-M06,6,9,Week 9 Recap (Won),Uncle Rico,120.62,87.16,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=9&mid1=9
