year,week,matchup_number,left_team,right_team,left_score,right_score,matchup_id,source
2026,1,1,The Big Gronkowski,ThreatLevelMidnight,84.52,92.46,2026-W01-01,yahoo_fantasy_api
2026,1,2,Malle ❤️ 🐸,Ginger FC 🏆🏆,120.52,164.54,2026-W01-02,yahoo_fantasy_api
2026,1,3,Voldemort,Pop Lockett Drop it,98.6,169.76,2026-W01-03,yahoo_fantasy_api
2026,1,4,Joe Mantegna,malle_dips_pouches,111.76,149.44,2026-W01-04,yahoo_fantasy_api
2026,1,5,Post Mahomes,Buttermilk Puuump,98.36,71.4,2026-W01-05,yahoo_fantasy_api
2026,1,6,Uncle Rico,Patty Primetimes,107.46,149.86,2026-W01-06,yahoo_fantasy_api
