year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2023,2,2023-W02-M01,1,1,The Big Gronkowski,Voldemort,119.7,116.28,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=1
2023,2,2023-W02-M02,2,2,Patty Primetimes,Malle ❤️ 🐸,125.42,79.66,30,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=2
2023,2,2023-W02-M03,3,4,Week 2 Recap (Won),Joe Mantegna,110.0,98.0,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=4
2023,2,2023-W02-M04,4,5,ThreatLevelMidnight,Uncle Rico,76.78,112.14,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=5
2023,2,2023-W02-M05,5,6,Pop Lockett Drop it,Ginger FC,103.24,107.16,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=6
2023,2,2023-W02-M06,6,7,malle_dips_pouches,Post Mahomes,127.96,101.86,32,2,https://football.fantasysports.yahoo.com/2023/f1/684195/matchup?week=2&mid1=7
