year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,matchup_number,yahoo_team_id_used,team_score,opponent_score
2019,7,1,0,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Jimmy Garoppolo,QB,QB,True,False,False,20.12,7.04,,Jimmy Garoppolo,QB,"["""", ""Jimmy Garoppolo"", ""20.12"", ""7.04"", ""QB"", ""QB"", ""QB"", ""19.52"", ""25.79"", ""Deshaun Watson"", """"]",1,1,64.44,96.62
2019,7,1,0,right,Post Mahomes,The Big Gronkowski,2019-W07-M01,Deshaun Watson,QB,QB,True,False,False,25.79,19.52,,Deshaun Watson,QB,"["""", ""Jimmy Garoppolo"", ""20.12"", ""7.04"", ""QB"", ""QB"", ""QB"", ""19.52"", ""25.79"", ""Deshaun Watson"", """"]",1,1,96.62,64.44
2019,7,1,1,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Jamison Crowder,WR,WR,True,False,False,7.17,2.6,,Jamison Crowder,WR,"["""", ""Jamison Crowder"", ""7.17"", ""2.60"", ""WR"", ""WR"", ""WR"", ""8.50"", ""9.75"", ""Adam Thielen"", """"]",1,1,64.44,96.62
2019,7,1,1,right,Post Mahomes,The Big Gronkowski,2019-W07-M01,Adam Thielen,WR,WR,True,False,False,9.75,8.5,,Adam Thielen,WR,"["""", ""Jamison Crowder"", ""7.17"", ""2.60"", ""WR"", ""WR"", ""WR"", ""8.50"", ""9.75"", ""Adam Thielen"", """"]",1,1,96.62,64.44
2019,7,1,2,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Robbie Chosen,WR,WR,True,False,False,7.65,1.0,,Robbie Chosen,WR,"["""", ""Robbie Chosen"", ""7.65"", ""1.00"", ""WR"", ""WR"", ""WR"", ""13.40"", ""9.93"", ""T.Y. Hilton"", """"]",1,1,64.44,96.62
2019,7,1,2,right,Post Mahomes,The Big Gronkowski,2019-W07-M01,T.Y. Hilton,WR,WR,True,False,False,9.93,13.4,,T.Y. Hilton,WR,"["""", ""Robbie Chosen"", ""7.65"", ""1.00"", ""WR"", ""WR"", ""WR"", ""13.40"", ""9.93"", ""T.Y. Hilton"", """"]",1,1,96.62,64.44
2019,7,1,3,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Mark Ingram II,RB,RB,True,False,False,11.27,5.3,,Mark Ingram II,RB,"["""", ""Mark Ingram II"", ""11.27"", ""5.30"", ""RB"", ""RB"", ""RB"", ""26.90"", ""15.56"", ""Dalvin Cook"", """"]",1,1,64.44,96.62
2019,7,1,3,right,Post Mahomes,The Big Gronkowski,2019-W07-M01,Dalvin Cook,RB,RB,True,False,False,15.56,26.9,,Dalvin Cook,RB,"["""", ""Mark Ingram II"", ""11.27"", ""5.30"", ""RB"", ""RB"", ""RB"", ""26.90"", ""15.56"", ""Dalvin Cook"", """"]",1,1,96.62,64.44
2019,7,1,4,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Marlon Mack,RB,RB,True,False,False,12.88,5.6,,Marlon Mack,RB,"["""", ""Marlon Mack"", ""12.88"", ""5.60"", ""RB"", ""RB"", ""RB"", ""0.20"", ""12.80"", ""David Johnson"", """"]",1,1,64.44,96.62
2019,7,1,4,right,Post Mahomes,The Big Gronkowski,2019-W07-M01,David Johnson,RB,RB,True,False,False,12.8,0.2,,David Johnson,RB,"["""", ""Marlon Mack"", ""12.88"", ""5.60"", ""RB"", ""RB"", ""RB"", ""0.20"", ""12.80"", ""David Johnson"", """"]",1,1,96.62,64.44
2019,7,1,5,left,The Big Gronkowski,Post Mahomes,2019-W07-M01,Jason Witten,TE,TE,True,False,False,5.17,3.3,,Jason Witten,TE,"["""", ""Jason Witten"", ""5.17"", ""3.30"", ""TE"", ""TE"", ""TE"", ""3.80"", ""9.77"", ""George Kittle"", """"]",1,1,64.44,96.62
