year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,matchup_number,team_score,opponent_score,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,player_key,player_id,nfl_team,source
2018,1,,6,api,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-01,1,83.66,79.84,David Njoku,TE,TE,True,False,False,,1.3,,David Njoku,TE,,380.p.30142,30142,LAC,yahoo_fantasy_api
2018,1,,7,api,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-01,1,83.66,79.84,Rex Burkhead,RB,W/R/T,True,False,False,,6.9,,Rex Burkhead,RB,,380.p.26813,26813,Hou,yahoo_fantasy_api
2018,1,,2,api,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-01,1,83.66,79.84,JuJu Smith-Schuster,WR,WR,True,False,False,,11.9,,JuJu Smith-Schuster,WR,,380.p.30175,30175,NYG,yahoo_fantasy_api
2018,1,,3,api,The Big Gronkowski,Malle ❤️ 🐸,2018-W01-01,1,83.66,79.84,Larry Fitzgerald,WR,WR,True,False,False,,7.6,,Larry Fitzgerald,WR,,380.p.6762,6762,Ari,yahoo_fantasy_api
2018,1,,8,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Sony Michel,RB,BN,False,True,False,,0.0,,Sony Michel,RB,,380.p.31001,31001,LAC,yahoo_fantasy_api
2018,1,,9,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Jordy Nelson,WR,BN,False,True,False,,2.3,,Jordy Nelson,WR,,380.p.8813,8813,LV,yahoo_fantasy_api
2018,1,,10,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Latavius Murray,RB,BN,False,True,False,,4.2,,Latavius Murray,RB,,380.p.26804,26804,Buf,yahoo_fantasy_api
2018,1,,11,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Mike Williams,WR,BN,False,True,False,,8.1,,Mike Williams,WR,,380.p.30120,30120,Pit,yahoo_fantasy_api
2018,1,,12,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,LeGarrette Blount,RB,BN,False,True,False,,-0.3,,LeGarrette Blount,RB,,380.p.24318,24318,Det,yahoo_fantasy_api
2018,1,,13,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Derek Carr,QB,BN,False,True,False,,9.22,,Derek Carr,QB,,380.p.27564,27564,NO,yahoo_fantasy_api
2018,1,,15,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Vikings,DEF,DEF,True,False,False,,18.0,,Vikings,DEF,,380.p.100016,100016,Min,yahoo_fantasy_api
2018,1,,14,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Chris Boswell,K,K,True,False,False,,3.0,,Chris Boswell,K,,380.p.28188,28188,Pit,yahoo_fantasy_api
2018,1,,1,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Matthew Stafford,QB,QB,True,False,False,,14.04,,Matthew Stafford,QB,,380.p.9265,9265,LAR,yahoo_fantasy_api
2018,1,,4,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Alvin Kamara,RB,RB,True,False,False,,34.1,,Alvin Kamara,RB,,380.p.30180,30180,NO,yahoo_fantasy_api
2018,1,,5,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Derrick Henry,RB,RB,True,False,False,,3.1,,Derrick Henry,RB,,380.p.29279,29279,Bal,yahoo_fantasy_api
2018,1,,6,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Travis Kelce,TE,TE,True,False,False,,0.6,,Travis Kelce,TE,,380.p.26686,26686,KC,yahoo_fantasy_api
2018,1,,7,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Robert Woods,WR,W/R/T,True,False,False,,4.3,,Robert Woods,WR,,380.p.26664,26664,Pit,yahoo_fantasy_api
2018,1,,2,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Tyreek Hill,WR,WR,True,False,False,,35.3,,Tyreek Hill,WR,,380.p.29399,29399,Mia,yahoo_fantasy_api
2018,1,,3,api,Big Sack Jack,Voldemort,2018-W01-02,2,123.04,121.58,Jarvis Landry,WR,WR,True,False,False,,10.6,,Jarvis Landry,WR,,380.p.27591,27591,NO,yahoo_fantasy_api
2018,1,,8,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Le'Veon Bell,RB,BN,False,True,False,,0.0,,Le'Veon Bell,RB,,380.p.26671,26671,TB,yahoo_fantasy_api
2018,1,,9,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Julian Edelman,WR,BN,False,True,False,,0.0,,Julian Edelman,WR,,380.p.9496,9496,NE,yahoo_fantasy_api
2018,1,,10,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Peyton Barber,RB,BN,False,True,False,,6.9,,Peyton Barber,RB,,380.p.29560,29560,LV,yahoo_fantasy_api
2018,1,,11,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Matt Breida,RB,BN,False,True,False,,5.1,,Matt Breida,RB,,380.p.30552,30552,SF,yahoo_fantasy_api
2018,1,,12,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Josh Doctson,WR,BN,False,True,False,,1.1,,Josh Doctson,WR,,380.p.29256,29256,Ari,yahoo_fantasy_api
2018,1,,13,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Jaylen Samuels,"RB,TE",BN,False,True,False,,0.0,,Jaylen Samuels,"RB,TE",,380.p.31135,31135,Hou,yahoo_fantasy_api
2018,1,,15,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Lions,DEF,DEF,True,False,False,,8.0,,Lions,DEF,,380.p.100008,100008,Det,yahoo_fantasy_api
2018,1,,14,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Wil Lutz,K,K,True,False,False,,6.0,,Wil Lutz,K,,380.p.29754,29754,Den,yahoo_fantasy_api
2018,1,,1,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Tom Brady,QB,QB,True,False,False,,28.28,,Tom Brady,QB,,380.p.5228,5228,TB,yahoo_fantasy_api
2018,1,,4,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Devonta Freeman,RB,RB,True,False,False,,5.0,,Devonta Freeman,RB,,380.p.27631,27631,Bal,yahoo_fantasy_api
2018,1,,5,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,James Conner,RB,RB,True,False,False,,29.2,,James Conner,RB,,380.p.30218,30218,Ari,yahoo_fantasy_api
2018,1,,6,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Jordan Reed,TE,TE,True,False,False,,10.8,,Jordan Reed,TE,,380.p.26708,26708,SF,yahoo_fantasy_api
2018,1,,7,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Marshawn Lynch,RB,W/R/T,True,False,False,,10.9,,Marshawn Lynch,RB,,380.p.8266,8266,Sea,yahoo_fantasy_api
2018,1,,2,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Stefon Diggs,WR,WR,True,False,False,,11.1,,Stefon Diggs,WR,,380.p.28534,28534,Was,yahoo_fantasy_api
2018,1,,3,api,Voldemort,Big Sack Jack,2018-W01-02,2,121.58,123.04,Demaryius Thomas,WR,WR,True,False,False,,12.3,,Demaryius Thomas,WR,,380.p.23997,23997,NE,yahoo_fantasy_api
2018,1,,8,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Patrick Mahomes,QB,BN,False,True,False,,36.34,,Patrick Mahomes,QB,,380.p.30123,30123,KC,yahoo_fantasy_api
2018,1,,9,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,George Kittle,TE,BN,False,True,False,,9.0,,George Kittle,TE,,380.p.30259,30259,SF,yahoo_fantasy_api
2018,1,,10,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,O.J. Howard,TE,BN,False,True,False,,5.4,,O.J. Howard,TE,,380.p.30132,30132,Hou,yahoo_fantasy_api
2018,1,,11,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Keelan Cole Sr.,WR,BN,False,True,False,,5.4,,Keelan Cole Sr.,WR,,380.p.30396,30396,LV,yahoo_fantasy_api
2018,1,,12,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Giovani Bernard,RB,BN,False,True,False,,0.9,,Giovani Bernard,RB,,380.p.26660,26660,TB,yahoo_fantasy_api
2018,1,,15,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Bears,DEF,BN,False,True,False,,14.0,,Bears,DEF,,380.p.100003,100003,Chi,yahoo_fantasy_api
2018,1,,14,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Jaguars,DEF,DEF,True,False,False,,13.0,,Jaguars,DEF,,380.p.100030,100030,Jax,yahoo_fantasy_api
2018,1,,13,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Stephen Gostkowski,K,K,True,False,False,,9.0,,Stephen Gostkowski,K,,380.p.7867,7867,Ten,yahoo_fantasy_api
2018,1,,1,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Deshaun Watson,QB,QB,True,False,False,,14.04,,Deshaun Watson,QB,,380.p.30125,30125,Cle,yahoo_fantasy_api
2018,1,,4,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Saquon Barkley,RB,RB,True,False,False,,18.8,,Saquon Barkley,RB,,380.p.30972,30972,Phi,yahoo_fantasy_api
2018,1,,5,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Alfred Morris,RB,RB,True,False,False,,1.8,,Alfred Morris,RB,,380.p.25883,25883,NYG,yahoo_fantasy_api
2018,1,,6,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Zach Ertz,TE,TE,True,False,False,,4.8,,Zach Ertz,TE,,380.p.26658,26658,Phi,yahoo_fantasy_api
2018,1,,7,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Jamison Crowder,WR,W/R/T,True,False,False,,3.2,,Jamison Crowder,WR,,380.p.28493,28493,Was,yahoo_fantasy_api
2018,1,,2,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Julio Jones,WR,WR,True,False,False,,18.0,,Julio Jones,WR,,380.p.24793,24793,Phi,yahoo_fantasy_api
2018,1,,3,api,Joe Mantegna,Uncle Rico,2018-W01-03,3,88.84,101.54,Corey Davis,WR,WR,True,False,False,,6.2,,Corey Davis,WR,,380.p.30118,30118,NYJ,yahoo_fantasy_api
2018,1,,8,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Robbie Chosen,WR,BN,False,True,False,,9.2,,Robbie Chosen,WR,,380.p.29785,29785,Was,yahoo_fantasy_api
2018,1,,9,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Duke Johnson,RB,BN,False,True,False,,2.5,,Duke Johnson,RB,,380.p.28465,28465,Buf,yahoo_fantasy_api
2018,1,,10,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Aaron Jones Sr.,RB,BN,False,True,False,,0.0,,Aaron Jones Sr.,RB,,380.p.30295,30295,Min,yahoo_fantasy_api
2018,1,,11,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Kenny Stills,WR,BN,False,True,False,,22.6,,Kenny Stills,WR,,380.p.26767,26767,NO,yahoo_fantasy_api
2018,1,,12,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Nick Chubb,RB,BN,False,True,False,,2.1,,Nick Chubb,RB,,380.p.31005,31005,Hou,yahoo_fantasy_api
2018,1,,13,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Blake Bortles,QB,BN,False,True,False,,16.24,,Blake Bortles,QB,,380.p.27531,27531,GB,yahoo_fantasy_api
2018,1,,15,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Patriots,DEF,DEF,True,False,False,,8.0,,Patriots,DEF,,380.p.100017,100017,NE,yahoo_fantasy_api
2018,1,,14,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Robbie Gould,K,K,True,False,False,,11.0,,Robbie Gould,K,,380.p.7520,7520,SF,yahoo_fantasy_api
2018,1,,1,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Aaron Rodgers,QB,QB,True,False,False,,30.94,,Aaron Rodgers,QB,,380.p.7200,7200,Pit,yahoo_fantasy_api
2018,1,,4,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Todd Gurley,RB,RB,True,False,False,,20.7,,Todd Gurley,RB,,380.p.28398,28398,Atl,yahoo_fantasy_api
2018,1,,5,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Chris Carson,RB,RB,True,False,False,,5.9,,Chris Carson,RB,,380.p.30362,30362,Sea,yahoo_fantasy_api
2018,1,,6,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Kyle Rudolph,TE,TE,True,False,False,,7.1,,Kyle Rudolph,TE,,380.p.24830,24830,TB,yahoo_fantasy_api
2018,1,,7,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Doug Baldwin,WR,W/R/T,True,False,False,,0.0,,Doug Baldwin,WR,,380.p.25105,25105,Sea,yahoo_fantasy_api
2018,1,,2,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Keenan Allen,WR,WR,True,False,False,,16.8,,Keenan Allen,WR,,380.p.26699,26699,Ind,yahoo_fantasy_api
2018,1,,3,api,Uncle Rico,Joe Mantegna,2018-W01-03,3,101.54,88.84,Chris Hogan,WR,WR,True,False,False,,1.1,,Chris Hogan,WR,,380.p.25178,25178,NO,yahoo_fantasy_api
2018,1,,8,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Kerryon Johnson,RB,BN,False,True,False,,3.7,,Kerryon Johnson,RB,,380.p.31013,31013,SF,yahoo_fantasy_api
2018,1,,9,api,Dillon Panthers,Ginger FC 🏆🏆,2018-W01-04,4,122.46,127.62,Jimmy Garoppolo,QB,BN,False,True,False,,14.04,,Jimmy Garoppolo,QB,,380.p.27590,27590,LAR,yahoo_fantasy_api
