year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2020,6,2020-W06-M06,6,9,Week 6 Recap (Lost),Big Sack Jack,79.82,108.42,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=6&mid1=9
2020,7,2020-W07-M01,1,1,The Big Gronkowski,Ginger FC,103.5,101.02,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=1
2020,7,2020-W07-M02,2,2,Malle ❤️ 🐸,Post Mahomes,135.56,127.1,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=2
2020,7,2020-W07-M03,3,3,Pop Lockett Drop it,Voldemort,121.88,97.62,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=3
2020,7,2020-W07-M04,4,4,Joe Mantegna,ThreatLevelMidnight,116.72,137.46,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=4
2020,7,2020-W07-M05,5,9,Week 7 Recap (Won),Uncle Rico,110.18,63.9,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=9
2020,7,2020-W07-M06,6,10,malle_dips_pouches,Patty Primetimes,106.74,149.3,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=7&mid1=10
2020,8,2020-W08-M01,1,1,Week 8 Recap (Won),The Big Gronkowski,133.3,113.74,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=1
2020,8,2020-W08-M02,2,2,Malle ❤️ 🐸,Ginger FC,96.56,162.94,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=2
2020,8,2020-W08-M03,3,3,Voldemort,Post Mahomes,89.52,74.84,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=3
2020,8,2020-W08-M04,4,4,Joe Mantegna,Pop Lockett Drop it,64.36,102.84,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=4
2020,8,2020-W08-M05,5,5,Patty Primetimes,ThreatLevelMidnight,107.22,88.16,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=5
2020,8,2020-W08-M06,6,9,Week 8 Recap (Lost),Big Sack Jack,113.74,133.3,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=8&mid1=9
2020,9,2020-W09-M01,1,1,malle_dips_pouches,The Big Gronkowski,116.08,71.7,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=1
2020,9,2020-W09-M02,2,2,Week 9 Recap (Lost),Malle ❤️ 🐸,81.76,113.68,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=2
2020,9,2020-W09-M03,3,3,Voldemort,Ginger FC,136.74,119.2,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=3
2020,9,2020-W09-M04,4,4,Joe Mantegna,Post Mahomes,118.34,96.92,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=4
2020,9,2020-W09-M05,5,5,ThreatLevelMidnight,Pop Lockett Drop it,125.96,155.3,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=5
2020,9,2020-W09-M06,6,9,Week 9 Recap (Won),Big Sack Jack,113.68,81.76,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=9&mid1=9
2020,10,2020-W10-M01,1,1,The Big Gronkowski,Uncle Rico,118.66,88.24,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=1
2020,10,2020-W10-M02,2,2,malle_dips_pouches,Malle ❤️ 🐸,145.2,98.52,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=2
2020,10,2020-W10-M03,3,3,Week 10 Recap (Won),Voldemort,102.68,64.62,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=3
2020,10,2020-W10-M04,4,4,Joe Mantegna,Ginger FC,90.62,76.12,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=4
2020,10,2020-W10-M05,5,5,ThreatLevelMidnight,Post Mahomes,76.82,138.2,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=5
2020,10,2020-W10-M06,6,6,Patty Primetimes,Pop Lockett Drop it,121.5,118.36,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=10&mid1=6
2020,11,2020-W11-M01,1,1,Patty Primetimes,The Big Gronkowski,115.6,75.52,30,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=1
2020,11,2020-W11-M02,2,2,Malle ❤️ 🐸,Uncle Rico,130.84,134.34,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=2
2020,11,2020-W11-M03,3,3,malle_dips_pouches,Voldemort,137.44,94.62,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=3
2020,11,2020-W11-M04,4,4,Week 11 Recap (Lost),Joe Mantegna,81.36,126.32,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=4
2020,11,2020-W11-M05,5,5,ThreatLevelMidnight,Ginger FC,102.48,105.38,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=5
2020,11,2020-W11-M06,6,6,Pop Lockett Drop it,Post Mahomes,89.94,121.16,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=11&mid1=6
2020,12,2020-W12-M01,1,1,Malle ❤️ 🐸,The Big Gronkowski,85.82,82.04,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=12&mid1=1
2020,12,2020-W12-M02,2,3,Voldemort,Uncle Rico,171.52,176.74,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=12&mid1=3
2020,12,2020-W12-M03,3,4,malle_dips_pouches,Joe Mantegna,121.34,96.48,32,2,https://football.fantasysports.yahoo.com/2020/f1/510142/matchup?week=12&mid1=4
