year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,matchup_number,team_score,opponent_score,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,player_key,player_id,nfl_team,source
2019,1,,1,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Tom Brady,QB,QB,True,False,False,,31.64,,Tom Brady,QB,,390.p.5228,5228,TB,yahoo_fantasy_api
2019,1,,2,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Tyreek Hill,WR,WR,True,False,False,,2.1,,Tyreek Hill,WR,,390.p.29399,29399,Mia,yahoo_fantasy_api
2019,1,,3,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Chris Godwin Jr.,WR,WR,True,False,False,,11.3,,Chris Godwin Jr.,WR,,390.p.30197,30197,TB,yahoo_fantasy_api
2019,1,,4,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Sony Michel,RB,RB,True,False,False,,1.4,,Sony Michel,RB,,390.p.31001,31001,LAC,yahoo_fantasy_api
2019,1,,5,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Jordan Howard,RB,RB,True,False,False,,5.5,,Jordan Howard,RB,,390.p.29384,29384,NO,yahoo_fantasy_api
2019,1,,6,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Zach Ertz,TE,TE,True,False,False,,5.4,,Zach Ertz,TE,,390.p.26658,26658,Phi,yahoo_fantasy_api
2019,1,,7,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Dede Westbrook,WR,W/R/T,True,False,False,,9.2,,Dede Westbrook,WR,,390.p.30223,30223,GB,yahoo_fantasy_api
2019,1,,8,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Cooper Kupp,WR,BN,False,True,False,,4.6,,Cooper Kupp,WR,,390.p.30182,30182,Sea,yahoo_fantasy_api
2019,1,,9,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Melvin Gordon III,RB,BN,False,True,False,,0.0,,Melvin Gordon III,RB,,390.p.28403,28403,Bal,yahoo_fantasy_api
2019,1,,10,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Mohamed Sanu,WR,BN,False,True,False,,5.7,,Mohamed Sanu,WR,,390.p.25793,25793,Mia,yahoo_fantasy_api
2019,1,,11,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Ty Montgomery II,RB,BN,False,True,False,,0.4,,Ty Montgomery II,RB,,390.p.28482,28482,NE,yahoo_fantasy_api
2019,1,,12,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Anthony Miller,WR,BN,False,True,False,,0.0,,Anthony Miller,WR,,390.p.31021,31021,Bal,yahoo_fantasy_api
2019,1,,13,api,Big Sack Jack,Joe Mantegna,2019-W01-03,3,79.54,105.82,Mitchell Trubisky,QB,BN,False,True,False,,9.22,,Mitchell Trubisky,QB,,390.p.30115,30115,Ten,yahoo_fantasy_api
