year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2019,7,2019-W07-M01,1,1,The Big Gronkowski,Post Mahomes,64.44,96.62,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=1
2019,7,2019-W07-M02,2,2,Malle ❤️ 🐸,Pop Lockett Drop it,63.46,90.24,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=2
2019,7,2019-W07-M03,3,3,ThreatLevelMidnight,Voldemort,68.04,113.42,32,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=3
2019,7,2019-W07-M04,4,4,Patty Primetimes,Joe Mantegna,78.94,118.52,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=4
2019,7,2019-W07-M05,5,9,malle_dips_pouches,Ginger FC,109.32,104.96,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=9
2019,7,2019-W07-M06,6,10,Week 7 Recap (Lost),Uncle Rico,78.68,97.46,30,2,https://football.fantasysports.yahoo.com/2019/f1/322794/matchup?week=7&mid1=10
