year,week,matchup_id,matchup_number,yahoo_team_id_used,left_team,right_team,left_score,right_score,player_records,roster_tables,url
2025,11,2025-W11-M01,1,1,Malle ❤️ 🐸,The Big Gronkowski,130.14,106.12,30,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=1
2025,11,2025-W11-M02,2,3,malle_dips_pouches,Voldemort,81.54,85.7,32,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=3
2025,11,2025-W11-M03,3,4,Joe Mantegna,Post Mahomes,86.6,111.74,30,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=4
2025,11,2025-W11-M04,4,5,ThreatLevelMidnight,Ginger FC,127.92,98.94,32,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=5
2025,11,2025-W11-M05,5,6,Buttermilk Puuump,Pop Lockett Drop it,112.1,83.46,30,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=6
2025,11,2025-W11-M06,6,10,Patty Primetimes,Uncle Rico,101.84,133.78,32,2,https://football.fantasysports.yahoo.com/2025/f1/637567/matchup?week=11&mid1=10
