year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,matchup_number,yahoo_team_id_used,team_score,opponent_score
2018,9,1,0,left,The Big Gronkowski,Uncle Rico,2018-W09-M01,Aaron Rodgers,QB,QB,True,False,False,28.19,23.16,,Aaron Rodgers,QB,"["""", ""Aaron Rodgers"", ""28.19"", ""23.16"", ""QB"", ""QB"", ""QB"", ""11.00"", ""20.94"", ""Mitchell Trubisky"", """"]",1,1,87.26,102.4
2018,9,1,0,right,Uncle Rico,The Big Gronkowski,2018-W09-M01,Mitchell Trubisky,QB,QB,True,False,False,20.94,11.0,,Mitchell Trubisky,QB,"["""", ""Aaron Rodgers"", ""28.19"", ""23.16"", ""QB"", ""QB"", ""QB"", ""11.00"", ""20.94"", ""Mitchell Trubisky"", """"]",1,1,102.4,87.26
2018,9,1,1,left,The Big Gronkowski,Uncle Rico,2018-W09-M01,Doug Baldwin,WR,WR,True,False,False,7.13,7.7,,Doug Baldwin,WR,"["""", ""Doug Baldwin"", ""7.13"", ""7.70"", ""WR"", ""WR"", ""WR"", ""17.40"", ""10.02"", ""Brandin Cooks"", """"]",1,1,87.26,102.4
2018,9,1,1,right,Uncle Rico,The Big Gronkowski,2018-W09-M01,Brandin Cooks,WR,WR,True,False,False,10.02,17.4,,Brandin Cooks,WR,"["""", ""Doug Baldwin"", ""7.13"", ""7.70"", ""WR"", ""WR"", ""WR"", ""17.40"", ""10.02"", ""Brandin Cooks"", """"]",1,1,102.4,87.26
2018,9,1,2,left,The Big Gronkowski,Uncle Rico,2018-W09-M01,Keenan Allen,WR,WR,True,False,False,10.02,15.2,,Keenan Allen,WR,"["""", ""Keenan Allen"", ""10.02"", ""15.20"", ""WR"", ""WR"", ""WR"", ""7.80"", ""9.70"", ""JuJu Smith-Schuster"", """"]",1,1,87.26,102.4
2018,9,1,2,right,Uncle Rico,The Big Gronkowski,2018-W09-M01,JuJu Smith-Schuster,WR,WR,True,False,False,9.7,7.8,,JuJu Smith-Schuster,WR,"["""", ""Keenan Allen"", ""10.02"", ""15.20"", ""WR"", ""WR"", ""WR"", ""7.80"", ""9.70"", ""JuJu Smith-Schuster"", """"]",1,1,102.4,87.26
2018,9,1,3,left,The Big Gronkowski,Uncle Rico,2018-W09-M01,Todd Gurley,RB,RB,True,False,False,21.27,13.9,,Todd Gurley,RB,"["""", ""Todd Gurley"", ""21.27"", ""13.90"", ""RB"", ""RB"", ""RB"", ""27.70"", ""16.75"", ""Christian McCaffrey"", """"]",1,1,87.26,102.4
2018,9,1,3,right,Uncle Rico,The Big Gronkowski,2018-W09-M01,Christian McCaffrey,RB,RB,True,False,False,16.75,27.7,,Christian McCaffrey,RB,"["""", ""Todd Gurley"", ""21.27"", ""13.90"", ""RB"", ""RB"", ""RB"", ""27.70"", ""16.75"", ""Christian McCaffrey"", """"]",1,1,102.4,87.26
2018,9,1,4,left,The Big Gronkowski,Uncle Rico,2018-W09-M01,Aaron Jones Sr.,RB,RB,True,False,False,9.78,6.5,,Aaron Jones Sr.,RB,"["""", ""Aaron Jones Sr."", ""9.78"", ""6.50"", ""RB"", ""RB"", ""RB"", ""5.50"", ""3.12"", ""Chris Ivory"", """"]",1,1,87.26,102.4
2018,9,1,4,right,Uncle Rico,The Big Gronkowski,2018-W09-M01,Chris Ivory,RB,RB,True,False,False,3.12,5.5,,Chris Ivory,RB,"["""", ""Aaron Jones Sr."", ""9.78"", ""6.50"", ""RB"", ""RB"", ""RB"", ""5.50"", ""3.12"", ""Chris Ivory"", """"]",1,1,102.4,87.26
