year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2022,6,Joe Mantegna,8-6-0 | 10th,69.22,109.74,Patty Primetimes,3-11-0 | 11th,67.14,91.46,Joe Mantegna,Patty Primetimes,2.08,False
2022,6,Malle ❤️ 🐸,4-10-0 | 8th,75.0,106.8,Post Mahomes,7-7-0 | 9th,95.36,102.56,Post Mahomes,Malle ❤️ 🐸,20.36,False
2022,6,The Big Gronkowski,9-5-0 | 2nd,102.3,116.83,Pop Lockett Drop it,4-10-0 | 12th,87.74,106.52,The Big Gronkowski,Pop Lockett Drop it,14.56,False
2022,6,Uncle Rico,5-9-0 | 7th,107.82,110.78,Big Sack Jack,10-4-0 | 4th,115.0,100.49,Big Sack Jack,Uncle Rico,7.18,False
2022,6,Voldemort,10-4-0 | 3rd,122.86,122.19,ThreatLevelMidnight,8-6-0 | 6th,118.78,101.18,Voldemort,ThreatLevelMidnight,4.08,False
2022,7,Ginger FC,8-6-0 | 5th,109.46,120.52,Patty Primetimes,3-11-0 | 11th,102.76,99.79,Ginger FC,Patty Primetimes,6.7,False
2022,7,Malle ❤️ 🐸,4-10-0 | 8th,80.5,102.37,Pop Lockett Drop it,4-10-0 | 12th,81.52,99.42,Pop Lockett Drop it,Malle ❤️ 🐸,1.02,False
2022,7,Post Mahomes,7-7-0 | 9th,100.72,110.5,malle_dips_pouches,8-6-0 | 1st,96.0,116.84,Post Mahomes,malle_dips_pouches,4.72,False
2022,7,The Big Gronkowski,9-5-0 | 2nd,122.92,104.69,ThreatLevelMidnight,8-6-0 | 6th,88.6,96.13,The Big Gronkowski,ThreatLevelMidnight,34.32,False
2022,7,Uncle Rico,5-9-0 | 7th,132.12,112.29,Joe Mantegna,8-6-0 | 10th,110.22,111.55,Uncle Rico,Joe Mantegna,21.9,False
2022,7,Voldemort,10-4-0 | 3rd,106.98,115.97,Big Sack Jack,10-4-0 | 4th,117.34,95.91,Big Sack Jack,Voldemort,10.36,False
2022,8,Pop Lockett Drop it,4-10-0 | 12th,82.84,96.65,malle_dips_pouches,8-6-0 | 1st,143.58,124.66,malle_dips_pouches,Pop Lockett Drop it,60.74,False
2022,8,Post Mahomes,7-7-0 | 9th,114.4,114.38,Patty Primetimes,3-11-0 | 11th,136.68,105.21,Patty Primetimes,Post Mahomes,22.28,False
2022,8,The Big Gronkowski,9-5-0 | 2nd,132.08,107.44,Malle ❤️ 🐸,4-10-0 | 8th,102.6,91.96,The Big Gronkowski,Malle ❤️ 🐸,29.48,False
2022,8,ThreatLevelMidnight,8-6-0 | 6th,161.18,114.74,Big Sack Jack,10-4-0 | 4th,128.28,109.69,ThreatLevelMidnight,Big Sack Jack,32.9,False
2022,8,Uncle Rico,5-9-0 | 7th,122.64,110.31,Ginger FC,8-6-0 | 5th,142.54,107.82,Ginger FC,Uncle Rico,19.9,False
2022,8,Voldemort,10-4-0 | 3rd,107.72,127.65,Joe Mantegna,8-6-0 | 10th,87.82,102.95,Voldemort,Joe Mantegna,19.9,False
2022,9,Joe Mantegna,8-6-0 | 10th,100.3,105.84,Big Sack Jack,10-4-0 | 4th,91.84,113.73,Joe Mantegna,Big Sack Jack,8.46,False
2022,9,Malle ❤️ 🐸,4-10-0 | 8th,96.52,97.36,ThreatLevelMidnight,8-6-0 | 6th,107.4,114.19,ThreatLevelMidnight,Malle ❤️ 🐸,10.88,False
2022,9,Pop Lockett Drop it,4-10-0 | 12th,90.92,86.58,Patty Primetimes,3-11-0 | 11th,113.54,109.89,Patty Primetimes,Pop Lockett Drop it,22.62,False
2022,9,The Big Gronkowski,9-5-0 | 2nd,123.8,113.34,malle_dips_pouches,8-6-0 | 1st,82.72,106.67,The Big Gronkowski,malle_dips_pouches,41.08,False
2022,9,Uncle Rico,5-9-0 | 7th,102.74,98.31,Post Mahomes,7-7-0 | 9th,108.0,108.01,Post Mahomes,Uncle Rico,5.26,False
