rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,malle_dips_pouches,8-6-0,1657.12,1441.28,L-2,2,12,2022,854563
2,The Big Gronkowski,9-5-0,1585.04,1542.28,W-1,9,8,2022,854563
3,Voldemort,10-4-0,1744.96,1569.98,W-4,11,51,2022,854563
4,Big Sack Jack,10-4-0,1581.92,1469.26,W-5,1,2,2022,854563
5,Ginger FC,8-6-0,1547.14,1477.58,W-1,12,17,2022,854563
6,ThreatLevelMidnight,8-6-0,1495.22,1496.62,W-3,10,55,2022,854563
7,Uncle Rico,5-9-0,1614.04,1769.76,W-2,4,27,2022,854563
8,Malle ❤️ 🐸,4-10-0,1444.38,1594.34,L-2,5,11,2022,854563
9,Post Mahomes,7-7-0,1380.72,1418.88,L-1,3,34,2022,854563
10,Joe Mantegna,8-6-0,1480.76,1435.44,L-1,8,21,2022,854563
11,Patty Primetimes,3-11-0,1349.12,1494.00,L-5,7,23,2022,854563
12,Pop Lockett Drop it,4-10-0,1315.60,1486.60,L-4,6,34,2022,854563
