rank,team,record,points_for,points_against,streak,waiver,moves,year,league_id
1,Ginger FC,10-3-0,1194.24,1049.4,W-6,12,22,2017,1121308
2,Voldemort,9-4-0,1343.02,1164.22,W-1,10,52,2017,1121308
3,Little Red Fournette,8-5-0,1285.86,1111.46,W-1,11,36,2017,1121308
4,Pop Lockett Drop it,9-4-0,1093.78,1108.64,L-1,7,16,2017,1121308
5,malle_dips_pouches,7-6-0,1228.02,1106.42,W-2,2,13,2017,1121308
6,Big Sack Jack,7-6-0,1199.34,1152.12,W-3,3,8,2017,1121308
7,The Big Gronkowski,5-8-0,1238.36,1270.28,L-1,6,15,2017,1121308
8,Dillon Panthers,4-9-0,1098.26,1103.26,W-1,5,15,2017,1121308
9,PickUpYourBratsMalle,6-7-0,1193.04,1247.4,L-2,9,48,2017,1121308
10,Hello Harvard,5-8-0,1090.98,1177.94,L-2,8,21,2017,1121308
11,Malle ❤️ 🐸,3-10-0,1041.76,1340.68,L-5,4,8,2017,1121308
12,Ur The Best Bellows,5-8-0,949.44,1124.28,L-1,1,2,2017,1121308
