year,week,team_1,team_1_record,score_1,projected_1,team_2,team_2_record,score_2,projected_2,winner,loser,margin,league_id
2017,1,Dillon Panthers,4-9-0 | 8th,65.24,105.19,Ginger FC,10-3-0 | 1st,71.94,94.31,Ginger FC,Dillon Panthers,6.7,1121308
2017,1,Little Red Fournette,8-5-0 | 3rd,103.54,101.33,Pop Lockett Drop it,9-4-0 | 4th,58.74,105.84,Little Red Fournette,Pop Lockett Drop it,44.8,1121308
2017,1,PickUpYourBratsMalle,6-7-0 | 9th,82.12,100.91,malle_dips_pouches,7-6-0 | 5th,68.68,100.61,PickUpYourBratsMalle,malle_dips_pouches,13.44,1121308
2017,1,The Big Gronkowski,5-8-0 | 7th,108.02,107.77,Malle ❤️ 🐸,3-10-0 | 11th,78.62,95.0,The Big Gronkowski,Malle ❤️ 🐸,29.4,1121308
2017,1,Ur The Best Bellows,5-8-0 | 12th,48.22,80.95,Hello Harvard,5-8-0 | 10th,132.38,92.53,Hello Harvard,Ur The Best Bellows,84.16,1121308
2017,1,Voldemort,9-4-0 | 2nd,98.88,109.85,Big Sack Jack,7-6-0 | 6th,61.7,101.71,Voldemort,Big Sack Jack,37.18,1121308
2017,2,Dillon Panthers,4-9-0 | 8th,131.92,104.55,Hello Harvard,5-8-0 | 10th,61.28,91.68,Dillon Panthers,Hello Harvard,70.64,1121308
2017,2,Little Red Fournette,8-5-0 | 3rd,81.54,103.18,PickUpYourBratsMalle,6-7-0 | 9th,96.02,95.58,PickUpYourBratsMalle,Little Red Fournette,14.48,1121308
2017,2,Malle ❤️ 🐸,3-10-0 | 11th,59.12,103.27,malle_dips_pouches,7-6-0 | 5th,125.6,105.53,malle_dips_pouches,Malle ❤️ 🐸,66.48,1121308
2017,2,Pop Lockett Drop it,9-4-0 | 4th,68.78,104.38,Ginger FC,10-3-0 | 1st,92.8,103.24,Ginger FC,Pop Lockett Drop it,24.02,1121308
2017,2,The Big Gronkowski,5-8-0 | 7th,97.32,105.62,Voldemort,9-4-0 | 2nd,110.38,112.6,Voldemort,The Big Gronkowski,13.06,1121308
2017,2,Ur The Best Bellows,5-8-0 | 12th,80.08,92.66,Big Sack Jack,7-6-0 | 6th,73.54,97.41,Ur The Best Bellows,Big Sack Jack,6.54,1121308
2017,3,Dillon Panthers,4-9-0 | 8th,84.42,106.67,Big Sack Jack,7-6-0 | 6th,98.98,96.87,Big Sack Jack,Dillon Panthers,14.56,1121308
2017,3,Little Red Fournette,8-5-0 | 3rd,113.8,94.87,malle_dips_pouches,7-6-0 | 5th,88.42,104.25,Little Red Fournette,malle_dips_pouches,25.38,1121308
2017,3,Malle ❤️ 🐸,3-10-0 | 11th,84.34,95.94,Voldemort,9-4-0 | 2nd,141.02,108.86,Voldemort,Malle ❤️ 🐸,56.68,1121308
2017,3,PickUpYourBratsMalle,6-7-0 | 9th,76.72,103.31,Ginger FC,10-3-0 | 1st,66.76,105.47,PickUpYourBratsMalle,Ginger FC,9.96,1121308
2017,3,Pop Lockett Drop it,9-4-0 | 4th,71.26,96.6,Hello Harvard,5-8-0 | 10th,69.86,94.21,Pop Lockett Drop it,Hello Harvard,1.4,1121308
2017,3,The Big Gronkowski,5-8-0 | 7th,71.3,109.81,Ur The Best Bellows,5-8-0 | 12th,105.22,96.56,Ur The Best Bellows,The Big Gronkowski,33.92,1121308
2017,4,Little Red Fournette,8-5-0 | 3rd,106.42,105.8,Ginger FC,10-3-0 | 1st,100.46,106.67,Little Red Fournette,Ginger FC,5.96,1121308
2017,4,Malle ❤️ 🐸,3-10-0 | 11th,60.88,96.26,Ur The Best Bellows,5-8-0 | 12th,104.78,102.49,Ur The Best Bellows,Malle ❤️ 🐸,43.9,1121308
