year,week,team_1,team_1_record,score_1,projected_1,team_2,team_2_record,score_2,projected_2,winner,loser,margin,league_id
2017,13,Little Red Fournette,8-5-0 | 3rd,100.96,103.07,PickUpYourBratsMalle,6-7-0 | 9th,97.58,94.86,Little Red Fournette,PickUpYourBratsMalle,3.38,1121308
2017,13,The Big Gronkowski,5-8-0 | 7th,92.2,96.04,Voldemort,9-4-0 | 2nd,94.12,102.25,Voldemort,The Big Gronkowski,1.92,1121308
2017,13,Malle ❤️ 🐸,3-10-0 | 11th,67.98,82.48,malle_dips_pouches,7-6-0 | 5th,87.58,103.15,malle_dips_pouches,Malle ❤️ 🐸,19.6,1121308
2017,13,Ur The Best Bellows,5-8-0 | 12th,69.7,65.34,Big Sack Jack,7-6-0 | 6th,102.56,87.87,Big Sack Jack,Ur The Best Bellows,32.86,1121308
2017,13,Dillon Panthers,4-9-0 | 8th,130.86,82.72,Hello Harvard,5-8-0 | 10th,69.48,97.11,Dillon Panthers,Hello Harvard,61.38,1121308
2017,13,Pop Lockett Drop it,9-4-0 | 4th,85.92,93.34,Ginger FC,10-3-0 | 1st,103.18,97.31,Ginger FC,Pop Lockett Drop it,17.26,1121308
