trade_id,year,date,team,players_received,players_received_count,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points
2022-224,2022,2022-11-03T12:29:51-04:00,Uncle Rico,Clyde Edwards-Helaire,1,2,1,1,0,2.4,2.4,0.0,19.12
2022-284,2022,2022-11-17T12:37:10-05:00,Ginger FC 🏆🏆,Curtis Samuel,1,4,2,2,0,22.2,10.6,11.6,24.56
2022-284,2022,2022-11-17T12:37:10-05:00,Voldemort,Dalton Schultz,1,4,4,0,0,36.8,36.8,0.0,32.63
2022-59,2022,2022-09-23T15:46:47-04:00,Malle ❤️ 🐸,Antonio Gibson | James Robinson,2,24,15,9,0,156.4,127.0,29.4,176.17
2022-59,2022,2022-09-23T15:46:47-04:00,Voldemort,D'Andre Swift,1,12,4,5,3,75.6,31.0,44.6,88.48
2022-81,2022,2022-09-29T10:18:47-04:00,Pop Lockett Drop it,Gabe Davis | Gerald Everett,2,22,18,4,0,163.1,146.7,16.4,180.28
2022-81,2022,2022-09-29T10:18:47-04:00,Post Mahomes,Dameon Pierce,1,11,9,2,0,121.7,110.7,11.0,122.57
2023-232,2023,2023-11-16T09:05:49-05:00,Pop Lockett Drop it,Tyler Lockett,1,4,4,0,0,31.2,31.2,0.0,38.21
2023-232,2023,2023-11-16T09:05:49-05:00,Voldemort,Isiah Pacheco,1,4,3,0,1,52.8,52.8,0.0,38.52
2023-242,2023,2023-11-21T03:21:21-05:00,Pop Lockett Drop it,Gus Edwards,1,3,2,1,0,5.7,5.7,0.0,17.42
2023-242,2023,2023-11-21T03:21:21-05:00,Uncle Rico,Justin Fields,1,3,2,1,0,37.3,37.3,0.0,0.0
2023-87,2023,2023-09-29T03:21:39-04:00,Pop Lockett Drop it,Raheem Mostert,1,11,10,1,0,147.5,147.5,0.0,121.96
2023-87,2023,2023-09-29T03:21:39-04:00,ThreatLevelMidnight,Chris Olave,1,11,9,2,0,110.6,103.5,7.1,115.09
2024-168,2024,2024-11-15T08:08:05-05:00,Joe Mantegna,Brock Purdy | Malik Nabers,2,2,1,1,0,10.4,10.4,0.0,13.38
2024-168,2024,2024-11-15T08:08:05-05:00,Malle ❤️ 🐸,Breece Hall,1,1,1,0,0,9.5,9.5,0.0,16.09
2024-84,2024,2024-10-09T15:24:47-04:00,Ginger FC 🏆🏆,Kareem Hunt,1,1,0,1,0,0.0,0.0,0.0,0.0
2024-84,2024,2024-10-09T15:24:47-04:00,Post Mahomes,Amari Cooper | Deebo Samuel Sr.,2,6,3,3,0,26.0,11.4,14.6,45.24
2025-74,2025,2025-10-03T03:25:33-04:00,Pop Lockett Drop it,Jordan Mason | Tee Higgins,2,6,4,2,0,59.8,41.2,18.6,54.54
2025-74,2025,2025-10-03T03:25:33-04:00,Post Mahomes,Tetairoa McMillan,1,5,4,1,0,68.0,59.5,8.5,64.18
