trade_id,year,date,team,players_received,positions_received,players_received_count,roster_weeks,starts,bench_weeks,fantasy_points,started_points,bench_points,expected_replacement_started_points,raw_starter_value,starter_value,bench_value,trade_value,unmatched_assets
2020-182,2020,2020-10-27T04:45:36-04:00,Uncle Rico,Austin Ekeler | Christian Kirk | Lamar Jackson,RB | WR | QB,3,18,7,9,179.9,143.3,36.6,131.46,11.84,11.84,0.0,11.84,0
2020-263,2020,2020-11-13T03:25:33-05:00,Pop Lockett Drop it,Devin Singletary | Robbie Chosen,RB | WR,2,8,3,5,50.6,29.6,21.0,30.6,-1.0,0.0,0.0,0.0,0
2020-263,2020,2020-11-13T03:25:33-05:00,malle_dips_pouches,Darrell Henderson Jr.,RB,1,4,3,1,28.0,13.6,14.4,26.94,-13.34,0.0,2.08,2.08,0
2020-39,2020,2020-09-19T03:39:38-04:00,Big Sack Jack,Keenan Allen,WR,1,12,11,1,171.6,171.6,0.0,112.2,59.4,59.4,0.0,59.4,0
2020-39,2020,2020-09-19T03:39:38-04:00,The Big Gronkowski,Odell Beckham Jr.,WR,1,6,4,2,71.62,48.32,23.3,40.8,7.52,7.52,2.28,9.8,0
2021-104,2021,2021-10-14T13:55:30-04:00,Patty Primetimes,Alex Collins,RB,1,9,6,3,38.0,35.8,2.2,54.6,-18.8,0.0,0.0,0.0,0
2021-104,2021,2021-10-14T13:55:30-04:00,Post Mahomes,Dallas Goedert,TE,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-79,2021,2021-10-07T03:10:15-04:00,Post Mahomes,Odell Beckham Jr.,WR,1,10,2,7,63.7,19.7,44.0,16.8,2.9,2.9,0.72,3.62,0
2021-79,2021,2021-10-07T03:10:15-04:00,Uncle Rico,Brandon Aiyuk | Latavius Murray,WR | RB,2,13,4,9,38.5,18.9,19.6,36.4,-17.5,0.0,0.0,0.0,0
2022-112,2022,2022-10-06T08:48:17-04:00,Pop Lockett Drop it,Nick Chubb,RB,1,10,9,1,131.9,131.9,0.0,81.0,50.9,50.9,0.0,50.9,0
2022-112,2022,2022-10-06T08:48:17-04:00,Uncle Rico,Christian Kirk | Najee Harris,WR | RB,2,20,16,4,203.66,166.16,37.5,146.7,19.46,19.46,4.44,23.9,0
2022-149,2022,2022-10-18T17:43:51-04:00,Malle ❤️ 🐸,Allen Lazard | Ezekiel Elliott,WR | RB,2,16,10,6,135.1,117.9,17.2,91.8,26.1,29.9,0.0,29.9,0
2022-149,2022,2022-10-18T17:43:51-04:00,Post Mahomes,CeeDee Lamb,WR,1,8,7,1,102.8,102.8,0.0,65.1,37.7,37.7,0.0,37.7,0
2022-224,2022,2022-11-03T12:29:51-04:00,Post Mahomes,Tua Tagovailoa,QB,1,6,5,1,111.84,111.84,0.0,102.28,9.56,9.56,0.0,9.56,0
2022-224,2022,2022-11-03T12:29:51-04:00,Uncle Rico,Clyde Edwards-Helaire,RB,1,2,1,1,2.4,2.4,0.0,9.0,-6.6,0.0,0.0,0.0,0
2022-284,2022,2022-11-17T12:37:10-05:00,Ginger FC 🏆🏆,Curtis Samuel,WR,1,4,2,2,22.2,10.6,11.6,18.6,-8.0,0.0,0.0,0.0,0
2022-284,2022,2022-11-17T12:37:10-05:00,Voldemort,Dalton Schultz,TE,1,4,4,0,36.8,36.8,0.0,21.2,15.6,15.6,0.0,15.6,0
2022-59,2022,2022-09-23T15:46:47-04:00,Malle ❤️ 🐸,Antonio Gibson | James Robinson,RB | RB,2,24,15,9,156.4,127.0,29.4,135.0,-8.0,8.1,0.27,8.37,0
2022-59,2022,2022-09-23T15:46:47-04:00,Voldemort,D'Andre Swift,RB,1,12,4,5,75.6,31.0,44.6,36.0,-5.0,0.0,2.93,2.93,0
2022-81,2022,2022-09-29T10:18:47-04:00,Pop Lockett Drop it,Gabe Davis | Gerald Everett,WR | TE,2,22,18,4,163.1,146.7,16.4,131.4,15.3,17.1,2.05,19.15,0
2022-81,2022,2022-09-29T10:18:47-04:00,Post Mahomes,Dameon Pierce,RB,1,11,9,2,121.7,110.7,11.0,81.0,29.7,29.7,0.0,29.7,0
2023-232,2023,2023-11-16T09:05:49-05:00,Pop Lockett Drop it,Tyler Lockett,WR,1,4,4,0,31.2,31.2,0.0,36.8,-5.6,0.0,0.0,0.0,0
2023-232,2023,2023-11-16T09:05:49-05:00,Voldemort,Isiah Pacheco,RB,1,4,3,0,52.8,52.8,0.0,25.5,27.3,27.3,0.0,27.3,0
2023-242,2023,2023-11-21T03:21:21-05:00,Pop Lockett Drop it,Gus Edwards,RB,1,3,2,1,5.7,5.7,0.0,17.0,-11.3,0.0,0.0,0.0,0
2023-242,2023,2023-11-21T03:21:21-05:00,Uncle Rico,Justin Fields,QB,1,3,2,1,37.3,37.3,0.0,39.86,-2.56,0.0,0.0,0.0,0
2023-87,2023,2023-09-29T03:21:39-04:00,Pop Lockett Drop it,Raheem Mostert,RB,1,11,10,1,147.5,147.5,0.0,85.0,62.5,62.5,0.0,62.5,0
2023-87,2023,2023-09-29T03:21:39-04:00,ThreatLevelMidnight,Chris Olave,WR,1,11,9,2,110.6,103.5,7.1,82.8,20.7,20.7,0.0,20.7,0
2024-168,2024,2024-11-15T08:08:05-05:00,Joe Mantegna,Brock Purdy | Malik Nabers,QB | WR,2,2,1,1,10.4,10.4,0.0,8.1,2.3,2.3,0.0,2.3,0
2024-168,2024,2024-11-15T08:08:05-05:00,Malle ❤️ 🐸,Breece Hall,RB,1,1,1,0,9.5,9.5,0.0,11.1,-1.6,0.0,0.0,0.0,0
2024-84,2024,2024-10-09T15:24:47-04:00,Ginger FC 🏆🏆,Kareem Hunt,RB,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024-84,2024,2024-10-09T15:24:47-04:00,Post Mahomes,Amari Cooper | Deebo Samuel Sr.,WR | WR,2,6,3,3,26.0,11.4,14.6,24.3,-12.9,0.0,0.9,0.9,0
2025-74,2025,2025-10-03T03:25:33-04:00,Pop Lockett Drop it,Jordan Mason | Tee Higgins,RB | WR,2,6,4,2,59.8,41.2,18.6,34.0,7.2,7.2,3.28,10.47,0
2025-74,2025,2025-10-03T03:25:33-04:00,Post Mahomes,Tetairoa McMillan,WR,1,5,4,1,68.0,59.5,8.5,30.8,28.7,28.7,0.75,29.45,0
