team,trades,first_trade_year,last_trade_year
Post Mahomes,12,2018,2025
Pop Lockett Drop it,10,2018,2025
Malle ❤️ 🐸,6,2018,2024
Uncle Rico,6,2019,2023
ThreatLevelMidnight,5,2018,2023
Voldemort,5,2018,2023
Ginger FC 🏆🏆,4,2018,2024
Joe Mantegna,3,2018,2024
Patty Primetimes,3,2020,2021
malle_dips_pouches,3,2018,2020
The Big Gronkowski,2,2019,2020
Big Sack Jack,1,2020,2020
