trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2022-284,2022,2022-11-17T12:37:10-05:00,Curtis Samuel,Voldemort,Ginger FC 🏆🏆,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,14.0,4,2,2,0,22.2,10.6,11.6,24.56,5.55,5.3,6.0,9.3,18.6,-8.0,0.0,12.0,-0.4,0.0,0.0,-4.0,-43.01
2023-87,2023,2023-09-29T03:21:39-04:00,Chris Olave,Pop Lockett Drop it,ThreatLevelMidnight,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,4.0,14.0,11,9,2,0,110.6,103.5,7.1,115.09,10.05,11.5,6.45,9.2,82.8,20.7,20.7,12.9,-5.8,0.0,20.7,2.3,25.0
2023-87,2023,2023-09-29T03:21:39-04:00,Raheem Mostert,ThreatLevelMidnight,Pop Lockett Drop it,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,4.0,14.0,11,10,1,0,147.5,147.5,0.0,121.96,13.41,14.75,6.4,8.5,85.0,62.5,62.5,6.4,-6.4,0.0,62.5,6.25,73.53
2023-232,2023,2023-11-16T09:05:49-05:00,Isiah Pacheco,Pop Lockett Drop it,Voldemort,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,14.0,4,3,0,1,52.8,52.8,0.0,38.52,13.2,17.6,6.4,8.5,25.5,27.3,27.3,0.0,0.0,0.0,27.3,9.1,107.06
2023-232,2023,2023-11-16T09:05:49-05:00,Tyler Lockett,Voldemort,Pop Lockett Drop it,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,14.0,4,4,0,0,31.2,31.2,0.0,38.21,7.8,7.8,6.45,9.2,36.8,-5.6,0.0,0.0,0.0,0.0,0.0,-1.4,-15.22
2023-242,2023,2023-11-21T03:21:21-05:00,Justin Fields,Pop Lockett Drop it,Uncle Rico,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,14.0,3,2,1,0,37.3,37.3,0.0,0.0,12.43,18.65,16.12,19.93,39.86,-2.56,0.0,16.12,-16.12,0.0,0.0,-1.28,-6.43
2023-242,2023,2023-11-21T03:21:21-05:00,Gus Edwards,Uncle Rico,Pop Lockett Drop it,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,14.0,3,2,1,0,5.7,5.7,0.0,17.42,1.9,2.85,6.4,8.5,17.0,-11.3,0.0,6.4,-6.4,0.0,0.0,-5.65,-66.47
2024-84,2024,2024-10-09T15:24:47-04:00,Amari Cooper,Ginger FC 🏆🏆,Post Mahomes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,9.0,3,1,2,0,15.4,0.8,14.6,21.71,5.13,0.8,5.5,8.1,8.1,-7.3,0.0,11.0,3.6,0.9,0.9,-7.3,-90.12
2024-84,2024,2024-10-09T15:24:47-04:00,Deebo Samuel Sr.,Ginger FC 🏆🏆,Post Mahomes,WR,historical_fixed_slot,matched_post_trade_roster_stint,7.0,9.0,3,2,1,0,10.6,10.6,0.0,23.53,3.53,5.3,5.5,8.1,16.2,-5.6,0.0,5.5,-5.5,0.0,0.0,-2.8,-34.57
2024-84,2024,2024-10-09T15:24:47-04:00,Kareem Hunt,Post Mahomes,Ginger FC 🏆🏆,RB,historical_fixed_slot,matched_post_trade_roster_stint,6.0,6.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,11.1,0.0,0.0,0.0,8.1,-8.1,0.0,0.0,0.0,0.0
2024-168,2024,2024-11-15T08:08:05-05:00,Breece Hall,Joe Mantegna,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,9.0,1,1,0,0,9.5,9.5,0.0,16.09,9.5,9.5,8.1,11.1,11.1,-1.6,0.0,0.0,0.0,0.0,0.0,-1.6,-14.41
2024-168,2024,2024-11-15T08:08:05-05:00,Brock Purdy,Malle ❤️ 🐸,Joe Mantegna,QB,historical_fixed_slot,matched_post_trade_roster_stint,9.0,9.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.94,0.0,0.0,0.0,16.0,-16.0,0.0,0.0,0.0,0.0
2024-168,2024,2024-11-15T08:08:05-05:00,Malik Nabers,Malle ❤️ 🐸,Joe Mantegna,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,9.0,9.0,1,1,0,0,10.4,10.4,0.0,13.38,10.4,10.4,5.5,8.1,8.1,2.3,2.3,0.0,0.0,0.0,2.3,2.3,28.4
2025-74,2025,2025-10-03T03:25:33-04:00,Tetairoa McMillan,Pop Lockett Drop it,Post Mahomes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,12.0,5,4,1,0,68.0,59.5,8.5,64.18,13.6,14.88,5.5,7.7,30.8,28.7,28.7,5.5,3.0,0.75,29.45,7.18,93.18
2025-74,2025,2025-10-03T03:25:33-04:00,Jordan Mason,Post Mahomes,Pop Lockett Drop it,RB,historical_fixed_slot,matched_post_trade_roster_stint,5.0,7.0,3,2,1,0,22.8,22.8,0.0,24.37,7.6,11.4,6.95,9.3,18.6,4.2,4.2,6.95,-6.95,0.0,4.2,2.1,22.58
2025-74,2025,2025-10-03T03:25:33-04:00,Tee Higgins,Post Mahomes,Pop Lockett Drop it,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,5.0,7.0,3,2,1,0,37.0,18.4,18.6,30.17,12.33,9.2,5.5,7.7,15.4,3.0,3.0,5.5,13.1,3.28,6.27,1.5,19.48
