trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2018-222,2018,2018-11-16T03:46:27-05:00,Corey Davis,Joe Mantegna,ThreatLevelMidnight,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,13.0,3,3,0,0,33.8,33.8,0.0,25.51,11.27,11.27,4.97,7.28,21.84,11.96,11.96,0.0,0.0,0.0,11.96,3.99,54.76
2018-222,2018,2018-11-16T03:46:27-05:00,Zach Ertz,Joe Mantegna,ThreatLevelMidnight,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,11.0,1,1,0,0,1.5,1.5,0.0,10.6,1.5,1.5,2.08,3.9,3.9,-2.4,0.0,0.0,0.0,0.0,0.0,-2.4,-61.54
2018-222,2018,2018-11-16T03:46:27-05:00,Jordan Howard,ThreatLevelMidnight,Joe Mantegna,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,11.0,13.0,3,1,2,0,16.0,8.0,8.0,27.92,5.33,8.0,5.9,8.5,8.5,-0.5,0.0,11.8,-3.8,0.0,0.0,-0.5,-5.88
2018-222,2018,2018-11-16T03:46:27-05:00,Marvin Jones Jr.,ThreatLevelMidnight,Joe Mantegna,WR,historical_fixed_slot,matched_post_trade_roster_stint,11.0,13.0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,7.28,0.0,0.0,0.0,14.92,-14.92,0.0,0.0,0.0,0.0
2018-227,2018,2018-11-20T11:38:00-05:00,James White,Pop Lockett Drop it,ThreatLevelMidnight,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,1,1,0,19.6,7.8,11.8,23.7,9.8,7.8,5.9,8.5,8.5,-0.7,0.0,5.9,5.9,1.48,1.48,-0.7,-8.24
2018-227,2018,2018-11-20T11:38:00-05:00,Josh Gordon,Pop Lockett Drop it,ThreatLevelMidnight,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,2,0,0,18.8,18.8,0.0,18.0,9.4,9.4,4.97,7.28,14.56,4.24,4.24,0.0,0.0,0.0,4.24,2.12,29.12
2018-227,2018,2018-11-20T11:38:00-05:00,Matt Ryan,Pop Lockett Drop it,ThreatLevelMidnight,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,2,0,0,35.32,35.32,0.0,49.68,17.66,17.66,17.58,21.62,43.24,-7.92,0.0,0.0,0.0,0.0,0.0,-3.96,-18.32
2018-227,2018,2018-11-20T11:38:00-05:00,Adam Thielen,ThreatLevelMidnight,Pop Lockett Drop it,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,2,0,0,27.3,27.3,0.0,26.95,13.65,13.65,4.97,7.28,14.56,12.74,12.74,0.0,0.0,0.0,12.74,6.37,87.5
2018-227,2018,2018-11-20T11:38:00-05:00,Kirk Cousins,ThreatLevelMidnight,Pop Lockett Drop it,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,2,0,0,45.42,45.42,0.0,49.55,22.71,22.71,17.58,21.62,43.24,2.18,2.18,0.0,0.0,0.0,2.18,1.09,5.04
2018-227,2018,2018-11-20T11:38:00-05:00,Zach Ertz,ThreatLevelMidnight,Pop Lockett Drop it,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,12.0,13.0,2,2,0,0,23.4,23.4,0.0,20.09,11.7,11.7,2.08,3.9,7.8,15.6,15.6,0.0,0.0,0.0,15.6,7.8,200.0
2019-50,2019,2019-09-20T03:33:54-04:00,George Kittle,Pop Lockett Drop it,Post Mahomes,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,3.0,13.0,11,8,3,0,77.4,77.4,0.0,75.73,7.04,9.68,2.0,3.7,29.6,47.8,47.8,6.0,-6.0,0.0,47.8,5.98,161.49
2019-50,2019,2019-09-20T03:33:54-04:00,Rashaad Penny,Post Mahomes,Pop Lockett Drop it,RB,historical_fixed_slot,matched_post_trade_roster_stint,3.0,5.0,3,0,3,0,4.9,0.0,4.9,6.37,1.63,0.0,6.18,8.24,0.0,0.0,0.0,18.52,-13.62,0.0,0.0,0.0,0.0
2019-168,2019,2019-10-24T03:29:04-04:00,DJ Chark,Post Mahomes,The Big Gronkowski,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,5,1,0,50.0,50.0,0.0,51.9,8.33,10.0,4.1,6.1,30.5,19.5,19.5,4.1,-4.1,0.0,19.5,3.9,63.93
2019-168,2019,2019-10-24T03:29:04-04:00,James White,Post Mahomes,The Big Gronkowski,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,2,4,0,57.5,22.3,35.2,40.15,9.58,11.15,6.18,8.24,16.48,5.82,5.82,24.7,10.5,2.63,8.44,2.91,35.32
2019-168,2019,2019-10-24T03:29:04-04:00,Marlon Mack,The Big Gronkowski,Post Mahomes,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,4,0,2,49.0,49.0,0.0,47.71,8.17,12.25,6.18,8.24,32.96,16.04,16.04,0.0,0.0,0.0,16.04,4.01,48.67
2019-172,2019,2019-10-26T04:01:25-04:00,Le'Veon Bell,Malle ❤️ 🐸,ThreatLevelMidnight,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,6,0,0,61.1,61.1,0.0,73.71,10.18,10.18,6.18,8.24,49.44,11.66,11.66,0.0,0.0,0.0,11.66,1.94,23.58
2019-172,2019,2019-10-26T04:01:25-04:00,James Conner,ThreatLevelMidnight,Malle ❤️ 🐸,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,5,1,0,22.6,22.6,0.0,25.02,3.77,4.52,6.18,8.24,41.2,-18.6,0.0,6.18,-6.18,0.0,0.0,-3.72,-45.15
2019-187,2019,2019-10-31T03:28:36-04:00,Peyton Barber,Uncle Rico,malle_dips_pouches,RB,historical_fixed_slot,matched_post_trade_roster_stint,9.0,10.0,2,0,2,0,12.2,0.0,12.2,4.09,6.1,0.0,6.18,8.24,0.0,0.0,0.0,12.35,-0.15,0.0,0.0,0.0,0.0
