team,opponent,games,wins,losses,ties,points_for,points_against,win_pct,point_diff
The Big Gronkowski,Pop Lockett Drop it,8,3,5,0,805.6800000000001,873.9399999999999,0.375,-68.25999999999988
The Big Gronkowski,Post Mahomes,10,4,6,0,1052.18,1165.16,0.4,-112.98000000000002
The Big Gronkowski,ThreatLevelMidnight,10,4,6,0,1050.0,1084.48,0.4,-34.48000000000002
The Big Gronkowski,Uncle Rico,8,5,3,0,872.94,828.04,0.625,44.90000000000009
The Big Gronkowski,Voldemort,14,6,8,0,1467.82,1536.84,0.42857142857142855,-69.01999999999998
The Big Gronkowski,malle_dips_pouches,8,5,3,0,838.82,777.5,0.625,61.32000000000005
ThreatLevelMidnight,Big Sack Jack,7,6,1,0,925.52,784.98,0.8571428571428571,140.53999999999996
ThreatLevelMidnight,Buttermilk Puuump,3,2,1,0,363.65999999999997,346.18,0.6666666666666666,17.47999999999996
ThreatLevelMidnight,Dillon Panthers,1,1,0,0,92.16,79.04,1.0,13.11999999999999
ThreatLevelMidnight,Ginger FC,11,7,4,0,1134.18,1066.68,0.6363636363636364,67.5
ThreatLevelMidnight,Joe Mantegna,9,8,1,0,1048.92,917.38,0.8888888888888888,131.54000000000008
ThreatLevelMidnight,Malle ❤️ 🐸,9,5,4,0,1030.76,945.96,0.5555555555555556,84.79999999999995
ThreatLevelMidnight,Patty Primetimes,9,5,4,0,883.88,972.26,0.5555555555555556,-88.38
ThreatLevelMidnight,Pop Lockett Drop it,8,4,4,0,851.16,830.26,0.5,20.899999999999977
ThreatLevelMidnight,Post Mahomes,12,4,8,0,1158.96,1360.0,0.3333333333333333,-201.03999999999996
ThreatLevelMidnight,The Big Gronkowski,10,6,4,0,1084.48,1050.0,0.6,34.48000000000002
ThreatLevelMidnight,Uncle Rico,10,7,3,0,1175.2,1092.84,0.7,82.36000000000013
ThreatLevelMidnight,Voldemort,9,5,4,0,1060.5,1059.52,0.5555555555555556,0.9800000000000182
ThreatLevelMidnight,malle_dips_pouches,11,4,7,0,1279.16,1278.78,0.36363636363636365,0.38000000000010914
Uncle Rico,Big Sack Jack,5,3,2,0,525.8,469.7,0.6,56.099999999999966
Uncle Rico,Buttermilk Puuump,4,4,0,0,462.03999999999996,337.5,1.0,124.53999999999996
Uncle Rico,Dillon Panthers,2,1,1,0,209.86,174.64,0.5,35.22000000000003
Uncle Rico,Ginger FC,8,6,2,0,1014.3199999999999,832.0,0.75,182.31999999999994
Uncle Rico,Joe Mantegna,11,7,4,0,1085.74,1119.38,0.6363636363636364,-33.6400000000001
