year,week,team,opponent,points_for,points_against,result,margin
2018,7,Joe Mantegna,Dillon Panthers,101.32,104.6,L,-3.280000000000001
2018,7,Malle ❤️ 🐸,Pop Lockett Drop it,107.34,142.86,L,-35.52000000000001
2018,7,Pop Lockett Drop it,Malle ❤️ 🐸,142.86,107.34,W,35.52000000000001
2018,7,Post Mahomes,The Big Gronkowski,86.66,87.64,L,-0.980000000000004
2018,7,The Big Gronkowski,Post Mahomes,87.64,86.66,W,0.980000000000004
2018,7,ThreatLevelMidnight,Voldemort,119.34,111.38,W,7.960000000000008
2018,7,Uncle Rico,malle_dips_pouches,73.24,93.78,L,-20.540000000000006
2018,7,Voldemort,ThreatLevelMidnight,111.38,119.34,L,-7.960000000000008
2018,7,malle_dips_pouches,Uncle Rico,93.78,73.24,W,20.540000000000006
2018,8,Big Sack Jack,Uncle Rico,98.9,111.24,L,-12.33999999999999
2018,8,Dillon Panthers,malle_dips_pouches,94.8,111.4,L,-16.60000000000001
2018,8,Ginger FC,The Big Gronkowski,95.94,83.2,W,12.739999999999995
2018,8,Joe Mantegna,ThreatLevelMidnight,95.72,117.96,L,-22.239999999999995
2018,8,Malle ❤️ 🐸,Post Mahomes,89.06,107.34,L,-18.28
2018,8,Pop Lockett Drop it,Voldemort,101.1,121.96,L,-20.86
2018,8,Post Mahomes,Malle ❤️ 🐸,107.34,89.06,W,18.28
2018,8,The Big Gronkowski,Ginger FC,83.2,95.94,L,-12.739999999999995
2018,8,ThreatLevelMidnight,Joe Mantegna,117.96,95.72,W,22.239999999999995
2018,8,Uncle Rico,Big Sack Jack,111.24,98.9,W,12.33999999999999
2018,8,Voldemort,Pop Lockett Drop it,121.96,101.1,W,20.86
2018,8,malle_dips_pouches,Dillon Panthers,111.4,94.8,W,16.60000000000001
2018,9,Big Sack Jack,malle_dips_pouches,104.76,88.24,W,16.52000000000001
2018,9,Dillon Panthers,ThreatLevelMidnight,79.04,92.16,L,-13.11999999999999
2018,9,Ginger FC,Malle ❤️ 🐸,68.8,105.4,L,-36.60000000000001
2018,9,Joe Mantegna,Pop Lockett Drop it,134.1,138.2,L,-4.099999999999994
2018,9,Malle ❤️ 🐸,Ginger FC,105.4,68.8,W,36.60000000000001
2018,9,Pop Lockett Drop it,Joe Mantegna,138.2,134.1,W,4.099999999999994
2018,9,Post Mahomes,Voldemort,97.48,98.74,L,-1.259999999999991
2018,9,The Big Gronkowski,Uncle Rico,102.4,87.26,W,15.14
2018,9,ThreatLevelMidnight,Dillon Panthers,92.16,79.04,W,13.11999999999999
2018,9,Uncle Rico,The Big Gronkowski,87.26,102.4,L,-15.14
2018,9,Voldemort,Post Mahomes,98.74,97.48,W,1.259999999999991
2018,9,malle_dips_pouches,Big Sack Jack,88.24,104.76,L,-16.52000000000001
2018,10,Big Sack Jack,The Big Gronkowski,97.26,111.72,L,-14.459999999999994
2018,10,Dillon Panthers,Pop Lockett Drop it,122.9,83.4,W,39.5
2018,10,Ginger FC,Voldemort,86.7,104.38,L,-17.679999999999993
2018,10,Joe Mantegna,Post Mahomes,110.56,120.62,L,-10.060000000000002
2018,10,Malle ❤️ 🐸,Uncle Rico,117.52,102.96,W,14.560000000000002
2018,10,Pop Lockett Drop it,Dillon Panthers,83.4,122.9,L,-39.5
2018,10,Post Mahomes,Joe Mantegna,120.62,110.56,W,10.060000000000002
2018,10,The Big Gronkowski,Big Sack Jack,111.72,97.26,W,14.459999999999994
2018,10,ThreatLevelMidnight,malle_dips_pouches,85.22,121.52,L,-36.3
2018,10,Uncle Rico,Malle ❤️ 🐸,102.96,117.52,L,-14.560000000000002
2018,10,Voldemort,Ginger FC,104.38,86.7,W,17.679999999999993
2018,10,malle_dips_pouches,ThreatLevelMidnight,121.52,85.22,W,36.3
2018,11,Big Sack Jack,Malle ❤️ 🐸,120.7,90.06,W,30.64
2018,11,Dillon Panthers,Post Mahomes,105.82,135.48,L,-29.659999999999997
2018,11,Ginger FC,Joe Mantegna,104.94,119.92,L,-14.980000000000004
2018,11,Joe Mantegna,Ginger FC,119.92,104.94,W,14.980000000000004
2018,11,Malle ❤️ 🐸,Big Sack Jack,90.06,120.7,L,-30.64
2018,11,Pop Lockett Drop it,ThreatLevelMidnight,100.74,81.08,W,19.659999999999997
2018,11,Post Mahomes,Dillon Panthers,135.48,105.82,W,29.659999999999997
2018,11,The Big Gronkowski,malle_dips_pouches,90.14,147.62,L,-57.480000000000004
2018,11,ThreatLevelMidnight,Pop Lockett Drop it,81.08,100.74,L,-19.659999999999997
2018,11,Uncle Rico,Voldemort,98.68,71.98,W,26.700000000000003
2018,11,Voldemort,Uncle Rico,71.98,98.68,L,-26.700000000000003
2018,11,malle_dips_pouches,The Big Gronkowski,147.62,90.14,W,57.480000000000004
2018,12,Big Sack Jack,Voldemort,61.04,106.22,L,-45.18
2018,12,Dillon Panthers,Ginger FC,92.24,95.26,L,-3.0200000000000102
2018,12,Ginger FC,Dillon Panthers,95.26,92.24,W,3.0200000000000102
2018,12,Joe Mantegna,Uncle Rico,67.8,83.2,L,-15.400000000000006
2018,12,Malle ❤️ 🐸,The Big Gronkowski,96.18,148.46,L,-52.28
2018,12,Pop Lockett Drop it,malle_dips_pouches,107.28,153.22,L,-45.94
2018,12,Post Mahomes,ThreatLevelMidnight,109.14,118.88,L,-9.739999999999995
2018,12,The Big Gronkowski,Malle ❤️ 🐸,148.46,96.18,W,52.28
2018,12,ThreatLevelMidnight,Post Mahomes,118.88,109.14,W,9.739999999999995
2018,12,Uncle Rico,Joe Mantegna,83.2,67.8,W,15.400000000000006
2018,12,Voldemort,Big Sack Jack,106.22,61.04,W,45.18
2018,12,malle_dips_pouches,Pop Lockett Drop it,153.22,107.28,W,45.94
2018,13,Big Sack Jack,Joe Mantegna,95.1,90.4,W,4.699999999999989
2018,13,Dillon Panthers,Uncle Rico,74.62,111.32,L,-36.69999999999999
2018,13,Ginger FC,ThreatLevelMidnight,106.7,80.34,W,26.36
2018,13,Joe Mantegna,Big Sack Jack,90.4,95.1,L,-4.699999999999989
2018,13,Malle ❤️ 🐸,malle_dips_pouches,54.72,72.58,L,-17.86
2018,13,Pop Lockett Drop it,Post Mahomes,112.7,109.0,W,3.700000000000003
2018,13,Post Mahomes,Pop Lockett Drop it,109.0,112.7,L,-3.700000000000003
2018,13,The Big Gronkowski,Voldemort,91.76,93.0,L,-1.2399999999999949
2018,13,ThreatLevelMidnight,Ginger FC,80.34,106.7,L,-26.36
2018,13,Uncle Rico,Dillon Panthers,111.32,74.62,W,36.69999999999999
2018,13,Voldemort,The Big Gronkowski,93.0,91.76,W,1.2399999999999949
2018,13,malle_dips_pouches,Malle ❤️ 🐸,72.58,54.72,W,17.86
2019,1,Big Sack Jack,Joe Mantegna,79.54,105.82,L,-26.279999999999987
2019,1,Ginger FC,Patty Primetimes,98.8,117.1,L,-18.299999999999997
2019,1,Joe Mantegna,Big Sack Jack,105.82,79.54,W,26.279999999999987
2019,1,Malle ❤️ 🐸,The Big Gronkowski,108.76,128.42,L,-19.659999999999982
2019,1,Patty Primetimes,Ginger FC,117.1,98.8,W,18.299999999999997
2019,1,Pop Lockett Drop it,Uncle Rico,115.3,92.76,W,22.539999999999992
2019,1,Post Mahomes,ThreatLevelMidnight,123.82,78.14,W,45.67999999999999
2019,1,The Big Gronkowski,Malle ❤️ 🐸,128.42,108.76,W,19.659999999999982
2019,1,ThreatLevelMidnight,Post Mahomes,78.14,123.82,L,-45.67999999999999
2019,1,Uncle Rico,Pop Lockett Drop it,92.76,115.3,L,-22.539999999999992
2019,1,Voldemort,malle_dips_pouches,130.52,70.6,W,59.920000000000016
2019,1,malle_dips_pouches,Voldemort,70.6,130.52,L,-59.920000000000016
2019,2,Big Sack Jack,Patty Primetimes,115.66,122.38,L,-6.719999999999999
2019,2,Ginger FC,ThreatLevelMidnight,74.8,106.22,L,-31.42
2019,2,Joe Mantegna,malle_dips_pouches,76.74,89.66,L,-12.920000000000002
2019,2,Malle ❤️ 🐸,Uncle Rico,96.4,84.12,W,12.280000000000001
2019,2,Patty Primetimes,Big Sack Jack,122.38,115.66,W,6.719999999999999
2019,2,Pop Lockett Drop it,Post Mahomes,117.5,76.06,W,41.44
2019,2,Post Mahomes,Pop Lockett Drop it,76.06,117.5,L,-41.44
2019,2,The Big Gronkowski,Voldemort,72.32,96.92,L,-24.60000000000001
2019,2,ThreatLevelMidnight,Ginger FC,106.22,74.8,W,31.42
2019,2,Uncle Rico,Malle ❤️ 🐸,84.12,96.4,L,-12.280000000000001
2019,2,Voldemort,The Big Gronkowski,96.92,72.32,W,24.60000000000001
