year,week,team,opponent,points_for,points_against,result,margin
2020,2,Voldemort,The Big Gronkowski,144.0,96.88,W,47.120000000000005
2020,2,malle_dips_pouches,ThreatLevelMidnight,151.46,97.02,W,54.44000000000001
2020,3,Big Sack Jack,Post Mahomes,121.8,113.4,W,8.399999999999991
2020,3,Ginger FC,Patty Primetimes,122.0,147.48,L,-25.47999999999999
2020,3,Joe Mantegna,The Big Gronkowski,112.36,160.22,L,-47.86
2020,3,Malle ❤️ 🐸,Voldemort,133.28,123.38,W,9.900000000000006
2020,3,Patty Primetimes,Ginger FC,147.48,122.0,W,25.47999999999999
2020,3,Pop Lockett Drop it,malle_dips_pouches,122.12,109.24,W,12.88000000000001
2020,3,Post Mahomes,Big Sack Jack,113.4,121.8,L,-8.399999999999991
2020,3,The Big Gronkowski,Joe Mantegna,160.22,112.36,W,47.86
2020,3,ThreatLevelMidnight,Uncle Rico,119.62,130.04,L,-10.419999999999987
2020,3,Uncle Rico,ThreatLevelMidnight,130.04,119.62,W,10.419999999999987
2020,3,Voldemort,Malle ❤️ 🐸,123.38,133.28,L,-9.900000000000006
2020,3,malle_dips_pouches,Pop Lockett Drop it,109.24,122.12,L,-12.88000000000001
2020,4,Big Sack Jack,Ginger FC,97.8,108.4,L,-10.600000000000009
2020,4,Ginger FC,Big Sack Jack,108.4,97.8,W,10.600000000000009
2020,4,Joe Mantegna,Malle ❤️ 🐸,140.78,126.66,W,14.120000000000005
2020,4,Malle ❤️ 🐸,Joe Mantegna,126.66,140.78,L,-14.120000000000005
2020,4,Patty Primetimes,Voldemort,80.72,105.78,L,-25.060000000000002
2020,4,Pop Lockett Drop it,Uncle Rico,120.48,105.22,W,15.260000000000005
2020,4,Post Mahomes,malle_dips_pouches,102.72,115.84,L,-13.120000000000005
2020,4,The Big Gronkowski,ThreatLevelMidnight,150.1,119.1,W,31.0
2020,4,ThreatLevelMidnight,The Big Gronkowski,119.1,150.1,L,-31.0
2020,4,Uncle Rico,Pop Lockett Drop it,105.22,120.48,L,-15.260000000000005
2020,4,Voldemort,Patty Primetimes,105.78,80.72,W,25.060000000000002
2020,4,malle_dips_pouches,Post Mahomes,115.84,102.72,W,13.120000000000005
2020,5,Big Sack Jack,Patty Primetimes,155.5,77.3,W,78.2
2020,5,Ginger FC,malle_dips_pouches,125.78,104.98,W,20.799999999999997
2020,5,Joe Mantegna,Voldemort,113.56,83.94,W,29.620000000000005
2020,5,Malle ❤️ 🐸,ThreatLevelMidnight,146.62,109.62,W,37.0
2020,5,Patty Primetimes,Big Sack Jack,77.3,155.5,L,-78.2
2020,5,Pop Lockett Drop it,The Big Gronkowski,121.74,113.62,W,8.11999999999999
2020,5,Post Mahomes,Uncle Rico,102.1,65.12,W,36.97999999999999
2020,5,The Big Gronkowski,Pop Lockett Drop it,113.62,121.74,L,-8.11999999999999
2020,5,ThreatLevelMidnight,Malle ❤️ 🐸,109.62,146.62,L,-37.0
2020,5,Uncle Rico,Post Mahomes,65.12,102.1,L,-36.97999999999999
2020,5,Voldemort,Joe Mantegna,83.94,113.56,L,-29.620000000000005
2020,5,malle_dips_pouches,Ginger FC,104.98,125.78,L,-20.799999999999997
2020,6,Big Sack Jack,malle_dips_pouches,79.82,108.42,L,-28.60000000000001
2020,6,Ginger FC,Uncle Rico,71.94,103.08,L,-31.14
2020,6,Joe Mantegna,Patty Primetimes,121.3,87.94,W,33.36
2020,6,Malle ❤️ 🐸,Pop Lockett Drop it,112.44,119.3,L,-6.859999999999999
2020,6,Patty Primetimes,Joe Mantegna,87.94,121.3,L,-33.36
2020,6,Pop Lockett Drop it,Malle ❤️ 🐸,119.3,112.44,W,6.859999999999999
2020,6,Post Mahomes,The Big Gronkowski,107.82,89.42,W,18.39999999999999
2020,6,The Big Gronkowski,Post Mahomes,89.42,107.82,L,-18.39999999999999
2020,6,ThreatLevelMidnight,Voldemort,85.34,137.16,L,-51.81999999999999
2020,6,Uncle Rico,Ginger FC,103.08,71.94,W,31.14
2020,6,Voldemort,ThreatLevelMidnight,137.16,85.34,W,51.81999999999999
2020,6,malle_dips_pouches,Big Sack Jack,108.42,79.82,W,28.60000000000001
2020,7,Big Sack Jack,Uncle Rico,63.9,110.18,L,-46.28000000000001
2020,7,Ginger FC,The Big Gronkowski,101.02,103.5,L,-2.480000000000004
2020,7,Joe Mantegna,ThreatLevelMidnight,116.72,137.46,L,-20.74000000000001
2020,7,Malle ❤️ 🐸,Post Mahomes,135.56,127.1,W,8.460000000000008
2020,7,Patty Primetimes,malle_dips_pouches,149.3,106.74,W,42.56000000000002
2020,7,Pop Lockett Drop it,Voldemort,97.62,121.88,L,-24.25999999999999
2020,7,Post Mahomes,Malle ❤️ 🐸,127.1,135.56,L,-8.460000000000008
2020,7,The Big Gronkowski,Ginger FC,103.5,101.02,W,2.480000000000004
2020,7,ThreatLevelMidnight,Joe Mantegna,137.46,116.72,W,20.74000000000001
2020,7,Uncle Rico,Big Sack Jack,110.18,63.9,W,46.28000000000001
2020,7,Voldemort,Pop Lockett Drop it,121.88,97.62,W,24.25999999999999
2020,7,malle_dips_pouches,Patty Primetimes,106.74,149.3,L,-42.56000000000002
2020,8,Big Sack Jack,The Big Gronkowski,113.74,133.3,L,-19.560000000000016
2020,8,Ginger FC,Malle ❤️ 🐸,162.94,96.56,W,66.38
2020,8,Joe Mantegna,Pop Lockett Drop it,64.36,102.84,L,-38.480000000000004
2020,8,Malle ❤️ 🐸,Ginger FC,96.56,162.94,L,-66.38
2020,8,Patty Primetimes,ThreatLevelMidnight,88.16,107.22,L,-19.060000000000002
2020,8,Pop Lockett Drop it,Joe Mantegna,102.84,64.36,W,38.480000000000004
2020,8,Post Mahomes,Voldemort,74.84,89.52,L,-14.679999999999993
2020,8,The Big Gronkowski,Big Sack Jack,133.3,113.74,W,19.560000000000016
2020,8,ThreatLevelMidnight,Patty Primetimes,107.22,88.16,W,19.060000000000002
2020,8,Uncle Rico,malle_dips_pouches,79.02,86.36,L,-7.340000000000003
2020,8,Voldemort,Post Mahomes,89.52,74.84,W,14.679999999999993
2020,8,malle_dips_pouches,Uncle Rico,86.36,79.02,W,7.340000000000003
2020,9,Big Sack Jack,Malle ❤️ 🐸,113.68,81.76,W,31.92
2020,9,Ginger FC,Voldemort,119.2,136.74,L,-17.540000000000006
2020,9,Joe Mantegna,Post Mahomes,118.34,96.92,W,21.42
2020,9,Malle ❤️ 🐸,Big Sack Jack,81.76,113.68,L,-31.92
2020,9,Patty Primetimes,Uncle Rico,51.94,73.4,L,-21.460000000000008
2020,9,Pop Lockett Drop it,ThreatLevelMidnight,155.3,125.96,W,29.340000000000018
2020,9,Post Mahomes,Joe Mantegna,96.92,118.34,L,-21.42
2020,9,The Big Gronkowski,malle_dips_pouches,116.08,71.7,W,44.379999999999995
2020,9,ThreatLevelMidnight,Pop Lockett Drop it,125.96,155.3,L,-29.340000000000018
2020,9,Uncle Rico,Patty Primetimes,73.4,51.94,W,21.460000000000008
2020,9,Voldemort,Ginger FC,136.74,119.2,W,17.540000000000006
2020,9,malle_dips_pouches,The Big Gronkowski,71.7,116.08,L,-44.379999999999995
2020,10,Big Sack Jack,Voldemort,64.62,102.68,L,-38.06
2020,10,Ginger FC,Joe Mantegna,76.12,90.62,L,-14.5
2020,10,Joe Mantegna,Ginger FC,90.62,76.12,W,14.5
2020,10,Malle ❤️ 🐸,malle_dips_pouches,145.2,98.52,W,46.67999999999999
2020,10,Patty Primetimes,Pop Lockett Drop it,118.36,121.5,L,-3.1400000000000006
2020,10,Pop Lockett Drop it,Patty Primetimes,121.5,118.36,W,3.1400000000000006
2020,10,Post Mahomes,ThreatLevelMidnight,138.2,76.82,W,61.379999999999995
2020,10,The Big Gronkowski,Uncle Rico,88.24,118.66,L,-30.42
2020,10,ThreatLevelMidnight,Post Mahomes,76.82,138.2,L,-61.379999999999995
2020,10,Uncle Rico,The Big Gronkowski,118.66,88.24,W,30.42
2020,10,Voldemort,Big Sack Jack,102.68,64.62,W,38.06
2020,10,malle_dips_pouches,Malle ❤️ 🐸,98.52,145.2,L,-46.67999999999999
2020,11,Big Sack Jack,Joe Mantegna,126.32,81.36,W,44.959999999999994
2020,11,Ginger FC,ThreatLevelMidnight,105.38,102.48,W,2.8999999999999915
2020,11,Joe Mantegna,Big Sack Jack,81.36,126.32,L,-44.959999999999994
2020,11,Malle ❤️ 🐸,Uncle Rico,134.34,130.84,W,3.5
2020,11,Patty Primetimes,The Big Gronkowski,75.52,115.6,L,-40.08
2020,11,Pop Lockett Drop it,Post Mahomes,89.94,121.16,L,-31.22
2020,11,Post Mahomes,Pop Lockett Drop it,121.16,89.94,W,31.22
2020,11,The Big Gronkowski,Patty Primetimes,115.6,75.52,W,40.08
2020,11,ThreatLevelMidnight,Ginger FC,102.48,105.38,L,-2.8999999999999915
2020,11,Uncle Rico,Malle ❤️ 🐸,130.84,134.34,L,-3.5
2020,11,Voldemort,malle_dips_pouches,137.44,94.62,W,42.81999999999999
2020,11,malle_dips_pouches,Voldemort,94.62,137.44,L,-42.81999999999999
2020,12,Big Sack Jack,ThreatLevelMidnight,106.58,102.6,W,3.980000000000004
2020,12,Ginger FC,Pop Lockett Drop it,112.7,118.94,L,-6.239999999999995
2020,12,Joe Mantegna,malle_dips_pouches,121.34,96.48,W,24.86
2020,12,Malle ❤️ 🐸,The Big Gronkowski,82.04,85.82,L,-3.779999999999987
2020,12,Patty Primetimes,Post Mahomes,81.08,87.02,L,-5.939999999999998
2020,12,Pop Lockett Drop it,Ginger FC,118.94,112.7,W,6.239999999999995
2020,12,Post Mahomes,Patty Primetimes,87.02,81.08,W,5.939999999999998
2020,12,The Big Gronkowski,Malle ❤️ 🐸,85.82,82.04,W,3.779999999999987
2020,12,ThreatLevelMidnight,Big Sack Jack,102.6,106.58,L,-3.980000000000004
2020,12,Uncle Rico,Voldemort,171.52,176.74,L,-5.219999999999999
2020,12,Voldemort,Uncle Rico,176.74,171.52,W,5.219999999999999
2020,12,malle_dips_pouches,Joe Mantegna,96.48,121.34,L,-24.86
2020,13,Big Sack Jack,Pop Lockett Drop it,80.12,115.6,L,-35.47999999999999
2020,13,Ginger FC,Post Mahomes,68.52,139.62,L,-71.10000000000001
2020,13,Joe Mantegna,Uncle Rico,87.98,107.28,L,-19.299999999999997
2020,13,Malle ❤️ 🐸,Patty Primetimes,120.0,89.9,W,30.099999999999994
2020,13,Patty Primetimes,Malle ❤️ 🐸,89.9,120.0,L,-30.099999999999994
2020,13,Pop Lockett Drop it,Big Sack Jack,115.6,80.12,W,35.47999999999999
2020,13,Post Mahomes,Ginger FC,139.62,68.52,W,71.10000000000001
2020,13,The Big Gronkowski,Voldemort,118.32,109.06,W,9.259999999999991
2020,13,ThreatLevelMidnight,malle_dips_pouches,124.96,140.3,L,-15.340000000000018
2020,13,Uncle Rico,Joe Mantegna,107.28,87.98,W,19.299999999999997
2020,13,Voldemort,The Big Gronkowski,109.06,118.32,L,-9.259999999999991
2020,13,malle_dips_pouches,ThreatLevelMidnight,140.3,124.96,W,15.340000000000018
2021,1,Big Sack Jack,ThreatLevelMidnight,129.38,138.26,L,-8.879999999999995
2021,1,Ginger FC,Pop Lockett Drop it,120.32,103.44,W,16.879999999999995
2021,1,Joe Mantegna,malle_dips_pouches,107.28,98.48,W,8.799999999999997
2021,1,Malle ❤️ 🐸,The Big Gronkowski,140.56,139.34,W,1.2199999999999989
2021,1,Patty Primetimes,Post Mahomes,103.1,109.06,L,-5.960000000000008
2021,1,Pop Lockett Drop it,Ginger FC,103.44,120.32,L,-16.879999999999995
2021,1,Post Mahomes,Patty Primetimes,109.06,103.1,W,5.960000000000008
2021,1,The Big Gronkowski,Malle ❤️ 🐸,139.34,140.56,L,-1.2199999999999989
2021,1,ThreatLevelMidnight,Big Sack Jack,138.26,129.38,W,8.879999999999995
2021,1,Uncle Rico,Voldemort,102.4,127.66,L,-25.25999999999999
2021,1,Voldemort,Uncle Rico,127.66,102.4,W,25.25999999999999
2021,1,malle_dips_pouches,Joe Mantegna,98.48,107.28,L,-8.799999999999997
2021,2,Big Sack Jack,Pop Lockett Drop it,109.02,116.82,L,-7.799999999999997
2021,2,Ginger FC,Post Mahomes,129.6,119.6,W,10.0
2021,2,Joe Mantegna,Uncle Rico,96.42,146.36,L,-49.94000000000001
2021,2,Malle ❤️ 🐸,Patty Primetimes,127.84,91.36,W,36.480000000000004
2021,2,Patty Primetimes,Malle ❤️ 🐸,91.36,127.84,L,-36.480000000000004
2021,2,Pop Lockett Drop it,Big Sack Jack,116.82,109.02,W,7.799999999999997
2021,2,Post Mahomes,Ginger FC,119.6,129.6,L,-10.0
2021,2,The Big Gronkowski,Voldemort,137.42,92.88,W,44.53999999999999
2021,2,ThreatLevelMidnight,malle_dips_pouches,108.52,121.28,L,-12.760000000000005
2021,2,Uncle Rico,Joe Mantegna,146.36,96.42,W,49.94000000000001
2021,2,Voldemort,The Big Gronkowski,92.88,137.42,L,-44.53999999999999
2021,2,malle_dips_pouches,ThreatLevelMidnight,121.28,108.52,W,12.760000000000005
2021,3,Big Sack Jack,Post Mahomes,101.4,85.74,W,15.66000000000001
2021,3,Ginger FC,Patty Primetimes,93.44,119.02,L,-25.58
2021,3,Joe Mantegna,The Big Gronkowski,111.14,132.82,L,-21.679999999999993
2021,3,Malle ❤️ 🐸,Voldemort,94.08,99.62,L,-5.540000000000006
2021,3,Patty Primetimes,Ginger FC,119.02,93.44,W,25.58
2021,3,Pop Lockett Drop it,malle_dips_pouches,110.64,123.88,L,-13.239999999999995
2021,3,Post Mahomes,Big Sack Jack,85.74,101.4,L,-15.66000000000001
2021,3,The Big Gronkowski,Joe Mantegna,132.82,111.14,W,21.679999999999993
2021,3,ThreatLevelMidnight,Uncle Rico,122.22,114.18,W,8.039999999999992
2021,3,Uncle Rico,ThreatLevelMidnight,114.18,122.22,L,-8.039999999999992
2021,3,Voldemort,Malle ❤️ 🐸,99.62,94.08,W,5.540000000000006
2021,3,malle_dips_pouches,Pop Lockett Drop it,123.88,110.64,W,13.239999999999995
2021,4,Big Sack Jack,Ginger FC,131.22,143.62,L,-12.400000000000006
2021,4,Ginger FC,Big Sack Jack,143.62,131.22,W,12.400000000000006
2021,4,Joe Mantegna,Malle ❤️ 🐸,101.18,95.46,W,5.720000000000013
2021,4,Malle ❤️ 🐸,Joe Mantegna,95.46,101.18,L,-5.720000000000013
2021,4,Patty Primetimes,Voldemort,108.62,142.82,L,-34.19999999999999
2021,4,Pop Lockett Drop it,Uncle Rico,89.7,83.94,W,5.760000000000005
2021,4,Post Mahomes,malle_dips_pouches,129.72,105.64,W,24.08
2021,4,The Big Gronkowski,ThreatLevelMidnight,92.3,115.96,L,-23.659999999999997
2021,4,ThreatLevelMidnight,The Big Gronkowski,115.96,92.3,W,23.659999999999997
2021,4,Uncle Rico,Pop Lockett Drop it,83.94,89.7,L,-5.760000000000005
2021,4,Voldemort,Patty Primetimes,142.82,108.62,W,34.19999999999999
2021,4,malle_dips_pouches,Post Mahomes,105.64,129.72,L,-24.08
2021,5,Big Sack Jack,Patty Primetimes,114.88,126.7,L,-11.820000000000007
2021,5,Ginger FC,malle_dips_pouches,160.66,96.48,W,64.17999999999999
2021,5,Joe Mantegna,Voldemort,101.52,142.98,L,-41.459999999999994
2021,5,Malle ❤️ 🐸,ThreatLevelMidnight,122.94,102.78,W,20.159999999999997
2021,5,Patty Primetimes,Big Sack Jack,126.7,114.88,W,11.820000000000007
2021,5,Pop Lockett Drop it,The Big Gronkowski,124.24,104.3,W,19.939999999999998
2021,5,Post Mahomes,Uncle Rico,103.96,191.08,L,-87.12000000000002
2021,5,The Big Gronkowski,Pop Lockett Drop it,104.3,124.24,L,-19.939999999999998
2021,5,ThreatLevelMidnight,Malle ❤️ 🐸,102.78,122.94,L,-20.159999999999997
2021,5,Uncle Rico,Post Mahomes,191.08,103.96,W,87.12000000000002
2021,5,Voldemort,Joe Mantegna,142.98,101.52,W,41.459999999999994
2021,5,malle_dips_pouches,Ginger FC,96.48,160.66,L,-64.17999999999999
2021,6,Big Sack Jack,malle_dips_pouches,127.48,101.84,W,25.64
2021,6,Ginger FC,Uncle Rico,120.6,142.68,L,-22.080000000000013
2021,6,Joe Mantegna,Patty Primetimes,79.8,97.32,L,-17.519999999999996
2021,6,Malle ❤️ 🐸,Pop Lockett Drop it,118.08,93.26,W,24.819999999999993
2021,6,Patty Primetimes,Joe Mantegna,97.32,79.8,W,17.519999999999996
2021,6,Pop Lockett Drop it,Malle ❤️ 🐸,93.26,118.08,L,-24.819999999999993
2021,6,Post Mahomes,The Big Gronkowski,171.26,119.74,W,51.519999999999996
2021,6,The Big Gronkowski,Post Mahomes,119.74,171.26,L,-51.519999999999996
2021,6,ThreatLevelMidnight,Voldemort,121.68,105.0,W,16.680000000000007
2021,6,Uncle Rico,Ginger FC,142.68,120.6,W,22.080000000000013
2021,6,Voldemort,ThreatLevelMidnight,105.0,121.68,L,-16.680000000000007
2021,6,malle_dips_pouches,Big Sack Jack,101.84,127.48,L,-25.64
2021,7,Big Sack Jack,Uncle Rico,94.44,117.88,L,-23.439999999999998
2021,7,Ginger FC,The Big Gronkowski,140.66,96.36,W,44.3
2021,7,Joe Mantegna,ThreatLevelMidnight,100.28,119.04,L,-18.760000000000005
2021,7,Malle ❤️ 🐸,Post Mahomes,126.74,89.44,W,37.3
2021,7,Patty Primetimes,malle_dips_pouches,119.92,137.2,L,-17.279999999999987
2021,7,Pop Lockett Drop it,Voldemort,100.14,113.68,L,-13.540000000000006
2021,7,Post Mahomes,Malle ❤️ 🐸,89.44,126.74,L,-37.3
2021,7,The Big Gronkowski,Ginger FC,96.36,140.66,L,-44.3
2021,7,ThreatLevelMidnight,Joe Mantegna,119.04,100.28,W,18.760000000000005
2021,7,Uncle Rico,Big Sack Jack,117.88,94.44,W,23.439999999999998
2021,7,Voldemort,Pop Lockett Drop it,113.68,100.14,W,13.540000000000006
2021,7,malle_dips_pouches,Patty Primetimes,137.2,119.92,W,17.279999999999987
2021,8,Big Sack Jack,The Big Gronkowski,69.1,148.6,L,-79.5
2021,8,Ginger FC,Malle ❤️ 🐸,85.86,134.2,L,-48.33999999999999
2021,8,Joe Mantegna,Pop Lockett Drop it,88.42,75.24,W,13.180000000000007
2021,8,Malle ❤️ 🐸,Ginger FC,134.2,85.86,W,48.33999999999999
2021,8,Patty Primetimes,ThreatLevelMidnight,99.76,129.0,L,-29.239999999999995
2021,8,Pop Lockett Drop it,Joe Mantegna,75.24,88.42,L,-13.180000000000007
2021,8,Post Mahomes,Voldemort,100.36,99.38,W,0.980000000000004
2021,8,The Big Gronkowski,Big Sack Jack,148.6,69.1,W,79.5
2021,8,ThreatLevelMidnight,Patty Primetimes,129.0,99.76,W,29.239999999999995
2021,8,Uncle Rico,malle_dips_pouches,73.96,107.6,L,-33.64
2021,8,Voldemort,Post Mahomes,99.38,100.36,L,-0.980000000000004
2021,8,malle_dips_pouches,Uncle Rico,107.6,73.96,W,33.64
2021,9,Big Sack Jack,Malle ❤️ 🐸,75.24,82.98,L,-7.740000000000009
2021,9,Ginger FC,Voldemort,72.1,126.58,L,-54.480000000000004
2021,9,Joe Mantegna,Post Mahomes,126.14,94.0,W,32.14
2021,9,Malle ❤️ 🐸,Big Sack Jack,82.98,75.24,W,7.740000000000009
2021,9,Patty Primetimes,Uncle Rico,110.76,102.94,W,7.820000000000007
2021,9,Pop Lockett Drop it,ThreatLevelMidnight,89.56,91.36,L,-1.7999999999999972
2021,9,Post Mahomes,Joe Mantegna,94.0,126.14,L,-32.14
2021,9,The Big Gronkowski,malle_dips_pouches,111.76,100.82,W,10.940000000000012
2021,9,ThreatLevelMidnight,Pop Lockett Drop it,91.36,89.56,W,1.7999999999999972
2021,9,Uncle Rico,Patty Primetimes,102.94,110.76,L,-7.820000000000007
2021,9,Voldemort,Ginger FC,126.58,72.1,W,54.480000000000004
2021,9,malle_dips_pouches,The Big Gronkowski,100.82,111.76,L,-10.940000000000012
2021,10,Big Sack Jack,Voldemort,99.64,126.64,L,-27.0
2021,10,Ginger FC,Joe Mantegna,79.26,100.6,L,-21.33999999999999
2021,10,Joe Mantegna,Ginger FC,100.6,79.26,W,21.33999999999999
2021,10,Malle ❤️ 🐸,malle_dips_pouches,95.6,91.32,W,4.280000000000001
2021,10,Patty Primetimes,Pop Lockett Drop it,73.84,112.12,L,-38.28
2021,10,Pop Lockett Drop it,Patty Primetimes,112.12,73.84,W,38.28
2021,10,Post Mahomes,ThreatLevelMidnight,126.34,66.84,W,59.5
2021,10,The Big Gronkowski,Uncle Rico,103.92,98.42,W,5.5
2021,10,ThreatLevelMidnight,Post Mahomes,66.84,126.34,L,-59.5
2021,10,Uncle Rico,The Big Gronkowski,98.42,103.92,L,-5.5
2021,10,Voldemort,Big Sack Jack,126.64,99.64,W,27.0
2021,10,malle_dips_pouches,Malle ❤️ 🐸,91.32,95.6,L,-4.280000000000001
2021,11,Big Sack Jack,Joe Mantegna,71.4,161.38,L,-89.97999999999999
2021,11,Ginger FC,ThreatLevelMidnight,94.8,107.08,L,-12.280000000000001
2021,11,Joe Mantegna,Big Sack Jack,161.38,71.4,W,89.97999999999999
2021,11,Malle ❤️ 🐸,Uncle Rico,110.18,96.64,W,13.540000000000006
2021,11,Patty Primetimes,The Big Gronkowski,103.96,96.52,W,7.439999999999998
2021,11,Pop Lockett Drop it,Post Mahomes,132.38,106.12,W,26.25999999999999
2021,11,Post Mahomes,Pop Lockett Drop it,106.12,132.38,L,-26.25999999999999
2021,11,The Big Gronkowski,Patty Primetimes,96.52,103.96,L,-7.439999999999998
2021,11,ThreatLevelMidnight,Ginger FC,107.08,94.8,W,12.280000000000001
2021,11,Uncle Rico,Malle ❤️ 🐸,96.64,110.18,L,-13.540000000000006
2021,11,Voldemort,malle_dips_pouches,127.64,93.42,W,34.22
2021,11,malle_dips_pouches,Voldemort,93.42,127.64,L,-34.22
2021,12,Big Sack Jack,ThreatLevelMidnight,88.68,140.18,L,-51.5
2021,12,Ginger FC,Pop Lockett Drop it,130.38,141.4,L,-11.02000000000001
2021,12,Joe Mantegna,malle_dips_pouches,102.12,60.42,W,41.7
2021,12,Malle ❤️ 🐸,The Big Gronkowski,94.34,116.28,L,-21.939999999999998
2021,12,Patty Primetimes,Post Mahomes,89.0,103.78,L,-14.780000000000001
2021,12,Pop Lockett Drop it,Ginger FC,141.4,130.38,W,11.02000000000001
2021,12,Post Mahomes,Patty Primetimes,103.78,89.0,W,14.780000000000001
2021,12,The Big Gronkowski,Malle ❤️ 🐸,116.28,94.34,W,21.939999999999998
2021,12,ThreatLevelMidnight,Big Sack Jack,140.18,88.68,W,51.5
2021,12,Uncle Rico,Voldemort,90.7,150.86,L,-60.16000000000001
2021,12,Voldemort,Uncle Rico,150.86,90.7,W,60.16000000000001
2021,12,malle_dips_pouches,Joe Mantegna,60.42,102.12,L,-41.7
2021,13,Big Sack Jack,Pop Lockett Drop it,96.36,65.36,W,31.0
2021,13,Ginger FC,Post Mahomes,117.96,138.32,L,-20.36
2021,13,Joe Mantegna,Uncle Rico,144.18,49.72,W,94.46000000000001
2021,13,Malle ❤️ 🐸,Patty Primetimes,130.02,80.3,W,49.72000000000001
2021,13,Patty Primetimes,Malle ❤️ 🐸,80.3,130.02,L,-49.72000000000001
2021,13,Pop Lockett Drop it,Big Sack Jack,65.36,96.36,L,-31.0
2021,13,Post Mahomes,Ginger FC,138.32,117.96,W,20.36
2021,13,The Big Gronkowski,Voldemort,149.1,118.42,W,30.679999999999993
2021,13,ThreatLevelMidnight,malle_dips_pouches,137.36,88.64,W,48.72000000000001
2021,13,Uncle Rico,Joe Mantegna,49.72,144.18,L,-94.46000000000001
2021,13,Voldemort,The Big Gronkowski,118.42,149.1,L,-30.679999999999993
2021,13,malle_dips_pouches,ThreatLevelMidnight,88.64,137.36,L,-48.72000000000001
2021,14,Big Sack Jack,Post Mahomes,97.62,115.22,L,-17.599999999999994
2021,14,Ginger FC,Patty Primetimes,136.14,138.52,L,-2.380000000000024
2021,14,Joe Mantegna,The Big Gronkowski,153.3,148.08,W,5.219999999999999
2021,14,Malle ❤️ 🐸,Voldemort,113.22,108.84,W,4.3799999999999955
2021,14,Patty Primetimes,Ginger FC,138.52,136.14,W,2.380000000000024
2021,14,Pop Lockett Drop it,malle_dips_pouches,88.76,47.68,W,41.080000000000005
2021,14,Post Mahomes,Big Sack Jack,115.22,97.62,W,17.599999999999994
2021,14,The Big Gronkowski,Joe Mantegna,148.08,153.3,L,-5.219999999999999
2021,14,ThreatLevelMidnight,Uncle Rico,118.0,95.08,W,22.92
2021,14,Uncle Rico,ThreatLevelMidnight,95.08,118.0,L,-22.92
2021,14,Voldemort,Malle ❤️ 🐸,108.84,113.22,L,-4.3799999999999955
2021,14,malle_dips_pouches,Pop Lockett Drop it,47.68,88.76,L,-41.080000000000005
2022,1,Big Sack Jack,Pop Lockett Drop it,105.02,100.0,W,5.019999999999996
2022,1,Ginger FC,ThreatLevelMidnight,126.72,66.36,W,60.36
2022,1,Joe Mantegna,Post Mahomes,118.46,96.58,W,21.879999999999995
2022,1,Malle ❤️ 🐸,Uncle Rico,104.82,138.4,L,-33.58000000000001
2022,1,Patty Primetimes,malle_dips_pouches,104.7,106.32,L,-1.6199999999999903
2022,1,Pop Lockett Drop it,Big Sack Jack,100.0,105.02,L,-5.019999999999996
2022,1,Post Mahomes,Joe Mantegna,96.58,118.46,L,-21.879999999999995
2022,1,The Big Gronkowski,Voldemort,99.18,156.38,L,-57.19999999999999
2022,1,ThreatLevelMidnight,Ginger FC,66.36,126.72,L,-60.36
2022,1,Uncle Rico,Malle ❤️ 🐸,138.4,104.82,W,33.58000000000001
2022,1,Voldemort,The Big Gronkowski,156.38,99.18,W,57.19999999999999
2022,1,malle_dips_pouches,Patty Primetimes,106.32,104.7,W,1.6199999999999903
2022,2,Big Sack Jack,The Big Gronkowski,145.66,109.84,W,35.81999999999999
2022,2,Ginger FC,Post Mahomes,88.18,80.3,W,7.88000000000001
2022,2,Joe Mantegna,Pop Lockett Drop it,121.86,76.66,W,45.2
2022,2,Malle ❤️ 🐸,Voldemort,124.82,122.68,W,2.1399999999999864
2022,2,Patty Primetimes,ThreatLevelMidnight,91.88,102.38,L,-10.5
2022,2,Pop Lockett Drop it,Joe Mantegna,76.66,121.86,L,-45.2
2022,2,Post Mahomes,Ginger FC,80.3,88.18,L,-7.88000000000001
2022,2,The Big Gronkowski,Big Sack Jack,109.84,145.66,L,-35.81999999999999
2022,2,ThreatLevelMidnight,Patty Primetimes,102.38,91.88,W,10.5
2022,2,Uncle Rico,malle_dips_pouches,95.5,168.52,L,-73.02000000000001
2022,2,Voldemort,Malle ❤️ 🐸,122.68,124.82,L,-2.1399999999999864
2022,2,malle_dips_pouches,Uncle Rico,168.52,95.5,W,73.02000000000001
2022,3,Big Sack Jack,Malle ❤️ 🐸,85.5,132.7,L,-47.19999999999999
2022,3,Ginger FC,Pop Lockett Drop it,79.36,89.18,L,-9.820000000000007
2022,3,Joe Mantegna,The Big Gronkowski,104.58,95.3,W,9.280000000000001
2022,3,Malle ❤️ 🐸,Big Sack Jack,132.7,85.5,W,47.19999999999999
2022,3,Patty Primetimes,Uncle Rico,89.66,114.08,L,-24.42
2022,3,Pop Lockett Drop it,Ginger FC,89.18,79.36,W,9.820000000000007
2022,3,Post Mahomes,ThreatLevelMidnight,82.24,61.54,W,20.699999999999996
2022,3,The Big Gronkowski,Joe Mantegna,95.3,104.58,L,-9.280000000000001
2022,3,ThreatLevelMidnight,Post Mahomes,61.54,82.24,L,-20.699999999999996
2022,3,Uncle Rico,Patty Primetimes,114.08,89.66,W,24.42
2022,3,Voldemort,malle_dips_pouches,82.0,157.92,L,-75.91999999999999
