year,champion,final_regular_season_week,player,lineup_slot,was_starter_final_week,fantasy_points_final_week
2024,Post Mahomes,14,Chiefs - DEF,DEF,True,4.0
2024,Post Mahomes,14,Hollywood Brown,IR,False,0.0
2024,Post Mahomes,14,Tyler Bass,K,True,6.0
2024,Post Mahomes,14,Russell Wilson,QB,True,20.02
2024,Post Mahomes,14,Jahmyr Gibbs,RB,True,16.3
2024,Post Mahomes,14,Kyren Williams,RB,True,22.7
2024,Post Mahomes,14,Brock Bowers,TE,True,6.7
2024,Post Mahomes,14,Isiah Pacheco,W/R/T,True,7.1
2024,Post Mahomes,14,Tee Higgins,WR,True,3.3
2024,Post Mahomes,14,Darnell Mooney,WR,True,17.2
2025,Ginger FC,14,Tyrone Tracy Jr.,BN,False,
2025,Ginger FC,14,Stefon Diggs,BN,False,0.0
2025,Ginger FC,14,Rachaad White,BN,False,6.0
2025,Ginger FC,14,Josh Downs,BN,False,4.3
2025,Ginger FC,14,Jakobi Meyers,BN,False,12.8
2025,Ginger FC,14,Zach Ertz,BN,False,1.6
2025,Ginger FC,14,Ravens - DEF,DEF,True,0.0
2025,Ginger FC,14,Mike Evans,IR,False,
2025,Ginger FC,14,Jason Myers,K,True,14.0
2025,Ginger FC,14,Jalen Hurts,QB,True,4.4
2025,Ginger FC,14,Ashton Jeanty,RB,True,4.8
2025,Ginger FC,14,Bucky Irving,RB,True,15.1
2025,Ginger FC,14,Colston Loveland,TE,True,10.9
2025,Ginger FC,14,Jayden Reed,W/R/T,True,7.3
2025,Ginger FC,14,Christian Watson,WR,True,22.9
2025,Ginger FC,14,DJ Moore,WR,True,0.1
