year,week,round,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,winner_score,loser,loser_score,margin,is_championship
2023,15,Quarterfinal,Voldemort,7-7-0 | 5th,109.14,107.26,Post Mahomes,8-6-0 | 3rd,144.2,115.62,Post Mahomes,144.2,Voldemort,109.14,35.06,False
2023,16,Semifinal,Joe Mantegna,13-1-0 | 1st,148.9,102.66,malle_dips_pouches,8-6-0 | 4th,134.18,108.08,Joe Mantegna,148.9,malle_dips_pouches,134.18,14.72,False
2023,16,Semifinal,ThreatLevelMidnight,10-4-0 | 2nd,131.0,104.04,Post Mahomes,8-6-0 | 3rd,108.3,120.26,ThreatLevelMidnight,131.0,Post Mahomes,108.3,22.7,False
2023,17,Championship,Joe Mantegna,13-1-0 | 1st,133.38,106.94,ThreatLevelMidnight,10-4-0 | 2nd,107.56,109.97,Joe Mantegna,133.38,ThreatLevelMidnight,107.56,25.82,True
2024,15,Quarterfinal,The Big Gronkowski,9-5-0 | 5th,123.74,110.09,Patty Primetimes,8-6-0 | 3rd,137.34,108.39,Patty Primetimes,137.34,The Big Gronkowski,123.74,13.6,False
2024,15,Quarterfinal,ThreatLevelMidnight,9-5-0 | 2nd,105.16,113.45,malle_dips_pouches,8-6-0 | 6th,104.64,111.91,ThreatLevelMidnight,105.16,malle_dips_pouches,104.64,0.52,False
2024,16,Semifinal,Malle ❤️ 🐸,10-4-0 | 4th,94.04,107.46,ThreatLevelMidnight,9-5-0 | 2nd,147.02,115.02,ThreatLevelMidnight,147.02,Malle ❤️ 🐸,94.04,52.98,False
2024,16,Semifinal,Post Mahomes,10-4-0 | 1st,147.18,119.41,Patty Primetimes,8-6-0 | 3rd,122.12,110.87,Post Mahomes,147.18,Patty Primetimes,122.12,25.06,False
2024,17,Championship,ThreatLevelMidnight,9-5-0 | 2nd,132.86,110.75,Post Mahomes,10-4-0 | 1st,137.52,121.19,Post Mahomes,137.52,ThreatLevelMidnight,132.86,4.66,True
2025,15,Quarterfinal,ThreatLevelMidnight,9-5-0 | 3rd,116.78,112.22,Pop Lockett Drop it,8-6-0 | 6th,109.52,116.93,ThreatLevelMidnight,116.78,Pop Lockett Drop it,109.52,7.26,False
2025,15,Quarterfinal,Uncle Rico,7-7-0 | 5th,77.6,115.94,Post Mahomes,9-5-0 | 4th,85.76,89.64,Post Mahomes,85.76,Uncle Rico,77.6,8.16,False
2025,16,Semifinal,Post Mahomes,9-5-0 | 4th,89.38,115.69,Ginger FC,10-4-0 | 1st,165.5,119.89,Ginger FC,165.5,Post Mahomes,89.38,76.12,False
2025,16,Semifinal,ThreatLevelMidnight,9-5-0 | 3rd,96.62,102.54,Patty Primetimes,12-2-0 | 2nd,112.2,105.23,Patty Primetimes,112.2,ThreatLevelMidnight,96.62,15.58,False
2025,17,Championship,Ginger FC,10-4-0 | 1st,140.54,117.29,Patty Primetimes,12-2-0 | 2nd,81.68,109.1,Ginger FC,140.54,Patty Primetimes,81.68,58.86,True
