year,week,player,player_position,match_player,nfl_name,nfl_team,nfl_position,gsis_id,yahoo_id,match_method
2025,11,Wil Lutz,K,wil lutz,Wil Lutz,DEN,K,00-0032569,29754,exact_week_normalized
2025,11,Will Reichard,K,will reichard,Will Reichard,MIN,K,00-0039404,41093,exact_week_normalized
2025,11,Woody Marks,RB,woody marks,Woody Marks,HOU,RB,00-0040583,,exact_week_normalized
2025,11,Xavier Legette,,xavier legette,Xavier Legette,CAR,WR,00-0039342,40890,exact_week_normalized
2025,11,Xavier Worthy,,xavier worthy,Xavier Worthy,KC,WR,00-0039894,40877,exact_week_normalized
2025,11,Zach Charbonnet,RB,zach charbonnet,Zach Charbonnet,SEA,RB,00-0039165,40075,exact_week_normalized
2025,11,Zach Ertz,,zach ertz,Zach Ertz,WAS,TE,00-0030061,26658,exact_week_normalized
2025,11,Zay Flowers,,zay flowers,Zay Flowers,BAL,WR,00-0039064,40039,exact_week_normalized
2025,12,A.J. Brown,,a j brown,A.J. Brown,PHI,WR,00-0035676,31883,exact_week_normalized
2025,12,Aaron Jones Sr.,RB,aaron jones,Aaron Jones,MIN,RB,00-0033293,30295,exact_week_normalized
2025,12,Aaron Rodgers,,aaron rodgers,Aaron Rodgers,PIT,QB,00-0023459,7200,exact_week_normalized
2025,12,Alec Pierce,,alec pierce,Alec Pierce,IND,WR,00-0037664,34008,exact_week_normalized
2025,12,Alvin Kamara,,alvin kamara,Alvin Kamara,NO,RB,00-0033906,30180,exact_week_normalized
2025,12,Amon-Ra St. Brown,WR,amon ra st brown,Amon-Ra St. Brown,DET,WR,00-0036963,33500,exact_week_normalized
2025,12,Ashton Jeanty,RB,ashton jeanty,Ashton Jeanty,LV,RB,00-0040122,,exact_week_normalized
2025,12,Baker Mayfield,,baker mayfield,Baker Mayfield,TB,QB,00-0034855,30971,exact_week_normalized
2025,12,Bam Knight,,bam knight,Bam Knight,ARI,RB,00-0037157,34357,exact_week_normalized
2025,12,Bhayshul Tuten,RB,bhayshul tuten,Bhayshul Tuten,JAX,RB,00-0040719,,exact_week_normalized
2025,12,Bijan Robinson,RB,bijan robinson,Bijan Robinson,ATL,RB,00-0038542,40055,exact_week_normalized
2025,12,Bo Nix,,bo nix,Bo Nix,DEN,QB,00-0039732,40875,inferred_between_same_team
2025,12,Brandon Aubrey,K,brandon aubrey,Brandon Aubrey,DAL,K,00-0037692,40819,exact_week_normalized
2025,12,Brashard Smith,,brashard smith,Brashard Smith,KC,RB,00-0040078,,exact_week_normalized
2025,12,Breece Hall,RB,breece hall,Breece Hall,NYJ,RB,00-0038120,33991,exact_week_normalized
2025,12,Brian Thomas Jr.,,brian thomas,Brian Thomas Jr.,JAX,WR,00-0039893,40883,exact_week_normalized
2025,12,Brock Bowers,TE,brock bowers,Brock Bowers,LV,TE,00-0039338,40878,exact_week_normalized
2025,12,Brock Purdy,QB,brock purdy,Brock Purdy,SF,QB,00-0037834,34218,exact_week_normalized
2025,12,Bucky Irving,,bucky irving,Bucky Irving,TB,RB,00-0039361,40993,exact_week_normalized
2025,12,Cade Otton,TE,cade otton,Cade Otton,TB,TE,00-0038129,34062,exact_week_normalized
2025,12,Caleb Williams,,caleb williams,Caleb Williams,CHI,QB,00-0039918,40900,exact_week_normalized
2025,12,Cam Little,K,cam little,Cam Little,JAX,K,00-0039409,41062,exact_week_normalized
2025,12,Cam Skattebo,,cam skattebo,Cam Skattebo,NYG,RB,00-0040715,,exact_week_normalized
2025,12,Cameron Dicker,,cameron dicker,Cameron Dicker,LAC,K,00-0037224,34344,inferred_between_same_team
2025,12,CeeDee Lamb,,ceedee lamb,CeeDee Lamb,DAL,WR,00-0036358,32687,exact_week_normalized
2025,12,Chase Brown,RB,chase brown,Chase Brown,CIN,RB,00-0038597,40196,exact_week_normalized
2025,12,Chase McLaughlin,K,chase mclaughlin,Chase McLaughlin,TB,K,00-0035358,32417,exact_week_normalized
2025,12,Chris Boswell,K,chris boswell,Chris Boswell,PIT,K,00-0031136,28188,exact_week_normalized
2025,12,Chris Godwin Jr.,,chris godwin,Chris Godwin Jr.,TB,WR,00-0033921,30197,exact_week_normalized
2025,12,Chris Olave,,chris olave,Chris Olave,NO,WR,00-0037239,33966,exact_week_normalized
2025,12,Chris Rodriguez Jr.,,chris rodriguez,Chris Rodriguez Jr.,WAS,RB,00-0038611,40231,inferred_between_same_team
2025,12,Christian Kirk,,christian kirk,Christian Kirk,HOU,WR,00-0034775,31017,exact_week_normalized
2025,12,Christian McCaffrey,RB,christian mccaffrey,Christian McCaffrey,SF,RB,00-0033280,30121,exact_week_normalized
